learn_rate,num_hidden_nodes,weight_range,beta,c,error
2.125,10,2.125,480,440,0.153377803
2,9,2.125,420,460,0.153383686
2,8,2.375,480,440,0.153385132
2.25,6,2.5,340,180,0.153399926
2,6,2.5,340,340,0.153409022
2.5,10,2.125,420,460,0.153423955
2.25,10,2.25,420,340,0.153435257
2.25,6,2.5,340,420,0.153436246
2.25,8,2.25,340,340,0.153477963
2.5,9,2.25,420,420,0.153535015
2,11,2,400,440,0.153538097
1.75,12,2.25,420,420,0.153546537
2.5,6,2.5,340,180,0.153552101
1.75,14,2,180,260,0.153558915
2.25,8,2.5,460,440,0.15357183
2.5,8,2.5,100,180,0.15359449
2.25,12,2.25,340,260,0.153598492
2,9,2.25,480,400,0.15363017
2,12,2.25,100,340,0.153656228
2,11,2,400,420,0.153671552
2.5,11,2.25,440,400,0.153671742
1.75,8,2.5,260,180,0.153675267
2,8,2.375,440,400,0.153702168
2.5,8,2.375,400,440,0.153703896
2,11,2.375,460,420,0.153728735
2,8,2.25,180,420,0.153756051
2,6,2.5,340,100,0.153776221
2.125,11,2.125,420,400,0.15377633
2.25,9,2.25,420,420,0.1538282
2.5,10,2.375,400,440,0.153828789
2,10,2.25,400,460,0.153830228
2,11,2,440,440,0.153831279
2.25,10,2.5,100,420,0.153875088
2,10,2.375,400,420,0.153875101
2,9,2.375,420,420,0.153877652
2.5,10,2.25,180,340,0.15390454
2.25,11,2,400,420,0.153939511
2.375,8,2.25,400,400,0.154002056
1.75,8,2.25,340,180,0.154010878
2.25,9,2.125,420,460,0.154012276
2.125,9,2.25,420,420,0.154017644
2,10,2.5,400,400,0.154026234
2.5,11,2.375,440,440,0.15410286
2.125,10,2,400,400,0.154105717
2,12,2.25,340,260,0.154170541
2.125,10,2.375,440,420,0.15418482
2.125,11,2.125,460,400,0.154205011
2.25,11,2.125,400,440,0.154208143
2.5,10,2.25,340,180,0.154221561
2.125,11,2.25,480,420,0.154241815
2.25,9,2.125,480,480,0.154259833
2.25,10,2.5,420,480,0.154262675
2.25,9,2.125,420,400,0.154282829
2.125,10,2.375,440,460,0.154296526
2.5,11,2.5,460,440,0.154306034
1.75,12,2,100,420,0.154308689
2,10,2.5,180,180,0.154311827
2,11,2.375,440,460,0.154333262
2.25,11,2.5,460,440,0.154334806
2.5,12,2.25,100,180,0.15436123
2.125,8,2.25,420,480,0.154362076
1.75,12,2,180,340,0.154373013
2,8,2.125,480,480,0.1543879
2,6,2.5,420,180,0.154405198
2.25,8,2.25,400,440,0.154420678
2.375,9,2.125,480,480,0.154423541
2.5,9,2.125,440,400,0.154441546
1.5,12,2.25,340,340,0.154508331
2,8,2.5,340,420,0.154509086
2,10,2,340,420,0.15454462
2,10,2.25,420,400,0.154559934
2,8,2.5,420,340,0.15456661
2.125,9,2.5,480,440,0.154569678
2.125,10,2.5,420,400,0.154604777
2.25,9,2.5,400,460,0.154640658
2.25,12,2,420,340,0.154644948
2.25,9,2.125,460,460,0.154659078
2,11,2.125,440,440,0.154672368
2,11,2.25,400,460,0.154672478
1.5,14,2,340,340,0.154682362
2.25,8,2.375,480,440,0.154716837
2.375,9,2.5,480,440,0.154719669
2.375,9,2.375,420,460,0.154725815
2.375,10,2.125,480,400,0.154735468
2,9,2.5,400,400,0.154744099
2.25,10,2,340,420,0.154744705
1.75,10,2,180,420,0.154762574
2.375,10,2.5,480,440,0.154766115
2.25,8,2.375,400,420,0.154774564
2.125,9,2.125,420,480,0.154778236
1.5,14,2,100,420,0.154789241
1.75,12,2.25,340,180,0.154797972
2.5,8,2.125,480,480,0.154799228
2.375,9,2.125,440,480,0.154876588
2.375,8,2.25,400,440,0.154888038
2,11,2.25,400,440,0.154892509
1.5,10,2,260,340,0.154893274
2.125,10,2.125,480,480,0.154929036
2.375,11,2.375,440,440,0.154973167
2.25,8,2.25,420,480,0.154982522
2.125,9,2.25,400,440,0.154995891
2.25,8,2.125,480,400,0.155000899
2.5,11,2.125,400,400,0.155013695
2.5,8,2.25,340,340,0.155023803
2.25,8,2.25,420,340,0.155032146
2.375,11,2.125,400,440,0.155041817
2.5,11,2.5,420,420,0.155042078
2.5,10,2.5,480,460,0.155042696
2.375,10,2.375,460,440,0.155050696
2.5,12,2.25,180,420,0.15506212
2.25,14,2,340,340,0.15506845
2.375,11,2,400,420,0.155083274
2.5,9,2.25,460,420,0.155102348
2.25,11,2.125,420,400,0.15511957
2.25,10,2.5,440,400,0.155166748
2.375,11,2.125,480,420,0.155176592
2.25,9,2.375,480,440,0.155181592
1.5,10,2,180,420,0.155191005
2.25,10,2.5,400,480,0.155225464
1.75,10,2.25,180,340,0.155257862
2,8,2.25,420,340,0.155279408
2.5,6,2.5,340,100,0.155282351
2.5,11,2,400,420,0.15529907
2,9,2.125,400,480,0.155299832
2.5,8,2.375,400,420,0.15530002
2.25,9,2.5,480,420,0.155333575
2,8,2.5,400,480,0.155387986
2.5,10,2.375,460,440,0.15541798
2.5,10,2.5,100,420,0.155449242
2.25,6,2.25,260,100,0.155460318
2.5,8,2.25,400,400,0.155482887
1.5,6,2.25,260,100,0.155518467
2,10,2.375,420,440,0.155521647
2.375,8,2.25,440,460,0.155623113
2.25,6,2.5,180,260,0.155696217
1.5,12,2,180,340,0.155709546
2,11,2.25,480,420,0.155711312
2.375,8,2.375,400,420,0.155717222
2.25,11,2.5,400,420,0.155750728
2.5,10,2.125,440,480,0.155752055
2.5,9,2.375,480,440,0.155800857
2.5,6,2.5,180,420,0.155819886
2,11,2.25,400,400,0.155827282
2,8,2.125,480,420,0.155830931
2.25,10,2.5,100,340,0.155842802
2.125,11,2.375,400,440,0.155865952
2.5,10,2.5,180,340,0.155905197
2.375,11,2.375,420,440,0.155939243
2.125,11,2.375,480,400,0.155959195
2.375,8,2.375,460,420,0.155968228
2,10,2.5,440,480,0.156011183
2.25,10,2.25,400,460,0.156011808
2.25,9,2.5,480,440,0.15602182
2.25,11,2.5,420,440,0.156025794
1.5,14,2,340,260,0.156025814
2.375,11,2.375,400,420,0.156039507
2,12,2,260,340,0.156045451
2.125,10,2.5,460,480,0.156057986
2,11,2,460,420,0.156069614
2.5,9,2.5,480,440,0.156069846
2.125,8,2.375,400,420,0.156075882
2.375,8,2.5,420,460,0.156088175
2.5,11,2.5,420,480,0.156115106
2.25,11,2.25,480,460,0.156119563
2,11,2,420,400,0.156125839
1.5,10,2.25,180,260,0.156142966
2.25,10,2.25,180,180,0.156202795
1.5,10,2,180,260,0.156254183
1.5,12,2,100,420,0.156263822
2,8,2.25,480,440,0.15628333
2,10,2.125,460,440,0.156285999
2.25,11,2.375,440,420,0.156315521
2.25,10,2.5,180,340,0.15632846
2,12,2,260,260,0.156333734
2.125,10,2.5,420,420,0.15634875
1.75,10,2.25,340,180,0.156443988
2,11,2.375,480,440,0.15647368
2,11,2,480,480,0.156479364
2.5,11,2.125,480,420,0.156479877
1.75,10,2,340,420,0.156481188
2.25,11,2.375,480,400,0.156484213
2.375,9,2.375,480,440,0.156504888
2,10,2.375,440,460,0.156573431
2,10,2.125,480,440,0.156577206
2.5,10,2.5,180,180,0.156588925
2.5,12,2,180,420,0.156605215
2.375,8,2.375,480,440,0.156605419
2.125,10,2.25,400,460,0.156636288
2.125,9,2.5,400,460,0.156653117
2,11,2.5,400,460,0.15667239
2,9,2.125,480,460,0.156677123
1.5,12,2,420,420,0.156692467
2.25,10,2.25,260,180,0.15669495
2.5,9,2.125,440,480,0.156706196
2.5,10,2.25,420,340,0.156732717
2,14,2,180,340,0.156733066
2.25,11,2.125,460,400,0.156765005
2.25,11,2.25,480,420,0.156768799
2.5,9,2.5,440,460,0.156782135
1.75,12,2.25,180,340,0.156788718
2.375,11,2.5,460,440,0.15682213
2.125,10,2.5,440,460,0.156826824
2.125,10,2.5,400,480,0.156852361
1.5,10,2,100,260,0.156879093
2,8,2.375,400,440,0.156886928
2.5,11,2.375,420,440,0.156887732
2,10,2,400,400,0.156920717
2.375,9,2.125,420,460,0.156922762
2.125,10,2.25,420,400,0.156939148
1.75,14,2.25,100,260,0.156964748
2,10,2.25,260,260,0.156966651
2.5,8,2.5,460,480,0.156982757
2.375,9,2.125,420,480,0.1569987
2.125,9,2.125,480,460,0.157002455
2,10,2,100,420,0.15701002
2.25,9,2.5,460,480,0.157039685
2,8,2.5,480,440,0.157055856
2.5,9,2.25,400,460,0.157058211
1.75,12,2.25,100,340,0.157075768
1.5,8,2.25,180,260,0.157128879
2,11,2.375,480,400,0.15714467
2.125,11,2.5,420,440,0.15717922
2.125,9,2.125,420,420,0.157182488
2.5,8,2.25,440,460,0.157211648
2.5,9,2.125,480,480,0.157305815
2.375,11,2.5,420,420,0.157311479
2.5,8,2.375,420,420,0.157350709
2.375,11,2.375,480,400,0.157382392
2.25,6,2.5,100,100,0.157399793
2.25,10,2.25,420,400,0.157404652
2.25,10,2.5,480,440,0.157416887
2.25,9,2.25,400,440,0.157424027
2.5,8,2.375,480,440,0.157455396
2.25,9,2.125,420,480,0.157469747
2.375,8,2.25,400,480,0.157489333
2.5,11,2.125,420,480,0.157491863
2.25,11,2.375,440,440,0.157497104
1.75,10,2,100,420,0.157505309
2.5,11,2.25,420,400,0.157545955
2.125,9,2.25,480,400,0.157556424
2,10,2.125,480,480,0.157599357
2.375,9,2.125,460,460,0.15760146
2.375,9,2.125,480,420,0.157602256
2.25,8,2.5,100,420,0.157628192
2.5,8,2.25,400,420,0.157636303
2.5,10,2.25,180,260,0.157663362
2.125,8,2.375,400,440,0.157696183
1.5,10,2.25,260,180,0.157696278
2.5,10,2.125,480,400,0.157702437
2,8,2.5,340,260,0.157707531
1.75,10,2,180,260,0.157720625
2.125,11,2,460,400,0.157737525
2.25,9,2.375,420,460,0.157768464
1.5,10,2,340,420,0.157774364
1.5,8,2.25,100,340,0.157783253
2,9,2.5,480,440,0.157802367
2,8,2.5,260,420,0.157816249
2,9,2.5,400,460,0.157825085
2,14,2.25,420,340,0.15787308
2.25,10,2.125,480,480,0.157887882
2.25,8,2.375,460,420,0.157919851
2.25,9,2.125,420,420,0.158020298
1.75,10,2.25,260,260,0.158023738
2.25,11,2.5,420,420,0.158032725
2.5,10,2,340,420,0.158043204
2,8,2.5,480,460,0.158051873
2,12,2.25,180,340,0.158064796
2,8,2.25,260,340,0.158082782
2,9,2.25,400,440,0.158116797
2.125,11,2,440,440,0.158166225
2.5,6,2.5,340,420,0.158183734
2.5,11,2.25,440,460,0.158188679
1.75,6,2.5,260,420,0.158195313
2.375,9,2.125,420,400,0.158203071
2,8,2.25,260,260,0.158205034
2,6,2.5,340,260,0.1582118
2.125,10,2.5,420,480,0.158225121
2.125,9,2.5,460,480,0.158252085
2.125,11,2,440,420,0.158258025
2.5,11,2.375,400,420,0.158259063
2.125,11,2,480,480,0.158286598
2.375,9,2.25,480,400,0.158313519
2,8,2.5,100,260,0.158317259
2.5,8,2.5,180,180,0.158342515
2,8,2.5,400,440,0.158356941
1.75,8,2.25,180,420,0.15836782
2.125,11,2.5,460,440,0.158372851
2.5,9,2.25,400,440,0.158391078
2.375,10,2.5,480,460,0.158401166
2.125,11,2,460,420,0.158404888
2.5,8,2.25,340,260,0.158412125
2,9,2.125,460,480,0.158416204
2.25,12,2.25,420,180,0.158437932
2.375,9,2.125,420,420,0.15846807
2.5,10,2.5,420,340,0.158472484
2.5,12,2.25,100,260,0.158486133
2.25,11,2,440,440,0.15849575
2.25,8,2.25,400,420,0.158497011
2.125,9,2.375,480,460,0.158502235
1.75,8,2.25,420,340,0.158504031
1.5,12,2.25,420,180,0.158521397
2,14,2.25,100,260,0.158569653
2,11,2,400,480,0.158585511
2.375,11,2.125,420,400,0.158625976
1.5,12,2,180,180,0.158627378
2.375,8,2.125,480,400,0.158629365
2,10,2.25,420,340,0.15864249
2.25,9,2.125,480,420,0.158682558
2.5,11,2.5,460,400,0.158713762
2.375,10,2.125,460,440,0.158767143
2,8,2.125,420,420,0.158774383
2.5,9,2.25,480,400,0.158774979
2.375,9,2.5,440,480,0.158808906
2.125,11,2.25,400,460,0.15882866
1.5,12,2.25,100,260,0.158837859
2.5,12,2.25,420,260,0.158877453
2.375,8,2.25,480,460,0.15888763
2.125,11,2.125,440,440,0.158920608
2.25,10,2,100,340,0.158938047
1.75,14,2.25,260,260,0.15897066
2,9,2.5,440,440,0.159023616
2,11,2.5,420,440,0.159046838
2.5,9,2.125,480,460,0.159048505
2.125,8,2.25,400,420,0.159051845
2,14,2.25,260,260,0.159079932
1.5,10,2.25,420,260,0.159100306
2,10,2.5,420,420,0.159122073
2.25,9,2.25,400,460,0.159142077
2.5,8,2.375,460,420,0.159152154
2.5,10,2.5,100,340,0.159251092
2.5,11,2.125,420,400,0.159271521
1.5,14,2.25,100,260,0.159276682
2,14,2,340,420,0.159305278
2.25,8,2.5,100,180,0.159313598
2,8,2.25,400,420,0.159327061
2.375,9,2.25,400,460,0.15942119
2.125,9,2.375,420,460,0.159421441
2,10,2,260,340,0.159431506
2.25,9,2.25,480,400,0.159436739
2,8,2.5,340,180,0.159454398
2.375,11,2.25,420,400,0.159473191
2.5,6,2.5,100,100,0.159515488
2,10,2.5,400,460,0.159532402
2.5,11,2.125,400,440,0.159533584
2,10,2.375,440,420,0.159540871
2.25,11,2,440,420,0.159550392
2.5,8,2.25,480,460,0.159556807
2.375,11,2.5,420,440,0.159678268
2,12,2,180,340,0.159696128
2.125,9,2.125,480,420,0.15970253
2.125,9,2.5,480,420,0.159724461
2.375,11,2.5,460,400,0.159731217
1.5,10,2,260,420,0.159751598
2.25,8,2.25,480,460,0.159765446
2.375,9,2.25,400,440,0.159792233
2.375,8,2.25,400,420,0.159844548
2,10,2,180,420,0.159845978
2.125,8,2.375,460,420,0.159857309
2.5,11,2.5,420,440,0.159859134
2.5,12,2.25,340,180,0.159867373
2.125,8,2.125,420,420,0.159891733
2.5,8,2.25,420,340,0.159892338
2.375,10,2.125,480,480,0.159894558
2.125,11,2.375,440,420,0.159897501
1.75,10,2,100,260,0.159972893
2.5,9,2.125,420,460,0.160020418
2.25,8,2.375,440,480,0.160021527
2.25,11,2.5,460,400,0.16002663
2,10,2.5,180,260,0.160033098
2.5,9,2.375,420,460,0.160040153
2.25,10,2,100,420,0.160086335
2.125,10,2.5,440,400,0.160128316
2.125,10,2.5,480,440,0.160196455
2.25,11,2.125,440,440,0.160243104
2.125,8,2.25,420,460,0.16026317
2,9,2.375,420,480,0.160283665
2.5,10,2.125,460,440,0.160318198
2.5,6,2.5,180,100,0.16036549
2.5,9,2.125,420,480,0.160381286
2.375,11,2.125,440,440,0.160386321
2.25,10,2.125,460,440,0.160403735
1.5,14,2,180,420,0.160424402
2,8,2.25,100,180,0.160440909
2.375,8,2.5,460,480,0.160474411
2.25,10,2.5,340,260,0.160477941
2.25,11,2,400,480,0.160523841
2.5,11,2.375,480,400,0.160558687
2.25,8,2.25,260,260,0.160591031
2.375,9,2.5,440,460,0.160597089
2.5,12,2,420,420,0.160651461
1.75,14,2,420,420,0.160690341
2.25,8,2.25,180,340,0.160691571
2,8,2.25,420,460,0.160697331
2.125,8,2.5,460,440,0.160716985
2.375,9,2.125,480,460,0.16073219
2,10,2.25,480,460,0.16074661
2.125,9,2.375,480,440,0.160765332
2.5,12,2.25,100,340,0.160774772
2,9,2.5,440,420,0.160791488
2,8,2.25,340,180,0.160796655
2.25,10,2.5,420,180,0.160801482
2.5,9,2.25,400,420,0.160857379
2,11,2,480,400,0.160874204
2.5,9,2.125,420,400,0.160895164
2,10,2.5,440,460,0.160907385
2.25,10,2.375,440,460,0.160911555
2.375,11,2.125,460,400,0.160914352
2.375,11,2,480,480,0.160918046
2.25,6,2.5,180,100,0.16101638
2,12,2.25,100,420,0.161089943
2.125,11,2,400,480,0.161091545
2.25,11,2,460,420,0.161093077
1.5,10,2,100,420,0.161204865
2.5,9,2.5,440,480,0.16134129
1.75,10,2.5,340,420,0.161342395
2.125,8,2.25,420,440,0.161350548
2.5,9,2.125,400,480,0.161373109
2.5,8,2.25,180,420,0.161380024
2.125,11,2,420,400,0.161405653
2.25,9,2.125,480,460,0.16143745
2.5,14,2,100,420,0.161461064
1.5,10,2.25,420,180,0.161464549
2,10,2.5,180,340,0.161485314
2,12,2.25,260,420,0.161486817
2.25,11,2.375,400,420,0.161500036
2.5,9,2.5,400,440,0.161545149
2.25,8,2.5,100,100,0.161551209
2,9,2.375,420,460,0.161573567
2.25,8,2.25,420,460,0.161617868
2.25,9,2.125,460,420,0.161646965
2.375,10,2.375,480,460,0.161653156
2.25,8,2.25,180,420,0.161682323
2.5,9,2.125,480,420,0.161694834
1.5,10,2.25,260,340,0.161709183
2.25,8,2.375,420,420,0.161768482
2.25,11,2.375,420,440,0.161814292
2.125,10,2.125,460,440,0.161824794
2.375,8,2.375,440,480,0.161865182
2.25,8,2.25,420,440,0.161882592
2.125,9,2.125,460,480,0.161888423
2.5,8,2.5,420,400,0.161895672
2.5,14,2,260,340,0.161940718
2,8,2.5,100,100,0.161951272
2.125,9,2.125,400,440,0.161959588
2.5,9,2.25,460,460,0.161971196
2.5,6,2.5,420,420,0.162044952
2.125,8,2.25,480,460,0.162070364
2,8,2.5,340,340,0.162106476
2.125,11,2.25,400,480,0.162124135
2.25,8,2.5,340,180,0.162128675
2.125,9,2.125,460,420,0.162135408
2.5,10,2.125,480,480,0.162145808
1.75,10,2.5,420,340,0.162151181
2,11,2.5,460,440,0.16218009
2,9,2.125,400,440,0.162184165
2,11,2,420,480,0.162230249
2,10,2.5,400,480,0.162230411
2.25,11,2,460,400,0.162248372
2,11,2.5,400,480,0.162265323
2.5,9,2.125,420,420,0.162290966
2.375,8,2.25,420,460,0.162326157
2.5,10,2.5,340,260,0.162331022
2.25,10,2.5,480,460,0.162355501
2,10,2.5,420,400,0.162377848
1.75,10,2.5,180,180,0.162388153
2.5,12,2.25,340,260,0.162392696
2.5,12,2,260,420,0.162404154
2.25,11,2,480,480,0.162404322
1.5,8,2.25,340,180,0.162416385
2.125,11,2.375,420,440,0.162423129
2.125,8,2.5,420,460,0.162426865
1.75,10,2,260,420,0.162436522
2.25,10,2.5,340,340,0.162468006
2,9,2.125,480,420,0.162478079
2.125,10,2.25,480,460,0.162496856
2,11,2,460,460,0.162517709
2,14,2.25,100,420,0.162525517
2.25,8,2.5,420,460,0.162533232
2.5,10,2.5,340,340,0.162541964
2.25,11,2.5,480,440,0.162543935
2.375,11,2,400,480,0.162582356
2.375,8,2.375,420,420,0.162583145
2,10,2,460,460,0.162604241
2,9,2.5,480,420,0.162626779
2,11,2.5,420,400,0.162637152
2,6,2.5,180,260,0.162660437
2,9,2.375,480,460,0.162669507
2,12,2,100,420,0.162735087
2.25,11,2.375,440,480,0.162769712
2.125,11,2.5,400,420,0.162810423
2.375,11,2.25,480,420,0.16282129
2,8,2.25,420,440,0.162856473
2.125,11,2,480,400,0.162890824
2.25,12,2.25,260,420,0.162927165
1.75,6,2.5,420,260,0.162928716
2,11,2,480,460,0.162942622
2,10,2.125,460,480,0.162961878
2.125,8,2.125,400,440,0.162963502
1.5,12,2.25,260,340,0.162984806
2.375,8,2.125,420,420,0.16299714
1.5,6,2.25,100,260,0.163038466
2.25,10,2.375,480,460,0.163048233
2,8,2.25,480,460,0.163062709
2,10,2.125,400,440,0.163089332
2.375,9,2.125,460,420,0.163091072
2.125,9,2.25,400,420,0.16309415
2.125,11,2.375,440,480,0.163108428
2.25,9,2.125,400,440,0.163117196
2.5,8,2.125,420,420,0.1631332
2.5,10,2.5,460,440,0.163144146
2,6,2.5,340,420,0.163148934
2.125,10,2.5,480,460,0.163170491
2.125,10,2.125,460,480,0.163179242
2.125,8,2.375,420,420,0.163229391
2.25,12,2.25,180,340,0.163241585
2.25,9,2.125,460,480,0.163269866
2,11,2.25,440,440,0.163338427
2.125,10,2,460,460,0.163381354
2.375,11,2,440,420,0.163391426
2.25,10,2.25,480,460,0.16345313
2,12,2.25,180,260,0.163470246
2.5,8,2.25,420,460,0.163481342
1.5,10,2.5,260,260,0.163510938
2.375,9,2.25,460,460,0.163519884
2.25,8,2.125,420,420,0.163558295
2.125,11,2.5,460,400,0.163565065
2.125,11,2,400,440,0.163656567
2.25,11,2,420,400,0.163719542
1.75,10,2.25,420,340,0.163833189
1.75,8,2.25,260,260,0.163845231
2.375,9,2.25,400,420,0.163864053
2.375,8,2.25,420,440,0.163890118
2,10,2,480,480,0.163904616
2.25,8,2.25,260,340,0.163921061
2,8,2.5,420,460,0.163927406
2.5,8,2.125,480,400,0.163968932
2,11,2.375,400,440,0.163984079
2.375,8,2.5,420,400,0.164042339
2.375,11,2,460,400,0.164056907
2.5,11,2.125,460,460,0.164063207
2.5,11,2.125,440,420,0.164185996
2.375,11,2,460,420,0.164186792
2,9,2.5,460,480,0.164188754
2.125,11,2.375,460,400,0.164236209
2.375,8,2.5,400,460,0.164243414
2,14,2,180,260,0.164274442
2.125,10,2.375,480,460,0.164322417
1.75,10,2.25,100,420,0.164418591
2.25,10,2,440,480,0.164449885
1.5,8,2.25,420,260,0.164451169
2.375,11,2.375,440,480,0.164479984
1.75,14,2.25,420,340,0.164481017
2,12,2.25,340,420,0.164482266
2.5,14,2.25,420,420,0.164489138
1.75,14,2,180,420,0.164492978
2.25,10,2.125,460,480,0.164497424
2,8,2.125,400,440,0.164504293
2,8,2.375,400,420,0.164508731
2.375,11,2.5,420,480,0.16453845
2,10,2,180,260,0.164545582
2,11,2.375,440,480,0.164561221
1.75,8,2.25,260,340,0.164604854
2,9,2.125,460,420,0.164607461
2.5,10,2.5,420,180,0.164687077
2,14,2,420,420,0.164728723
2,8,2.5,100,420,0.16474766
2,10,2.5,460,480,0.164763856
2.5,9,2.125,460,460,0.164779543
2.5,11,2,400,480,0.164818342
2.5,8,2.25,180,340,0.164837372
2.25,6,2.5,260,340,0.164866939
2,8,2.5,180,260,0.164893704
2.375,11,2.125,440,420,0.164894197
2,10,2.5,420,480,0.164939769
1.75,12,2.25,100,420,0.164944742
2.125,8,2.125,480,420,0.164945341
2,6,2.5,100,100,0.164959091
2.5,8,2.25,260,260,0.16496488
2.5,8,2.25,260,340,0.164966136
2,10,2,440,480,0.165017082
2.25,14,2,100,340,0.165039607
2.375,10,2.375,440,460,0.165041181
2.5,14,2,260,420,0.165097048
1.75,12,2,340,340,0.165106584
2.5,8,2.25,180,260,0.165175157
2.125,11,2,480,460,0.165194125
2,10,2.5,180,100,0.165215886
2.375,11,2,440,440,0.16521628
2.375,10,2.5,460,440,0.165221776
2,9,2.25,400,460,0.165222526
2.25,9,2.25,400,420,0.165238479
2,11,2.375,440,420,0.165245548
2.5,10,2.25,420,180,0.165272244
1.5,14,2.25,420,420,0.165314877
2.125,11,2.375,440,440,0.165319695
1.75,14,2,340,260,0.165326954
2.25,9,2.5,440,460,0.165366937
2.5,10,2,100,420,0.165395486
2,10,2.5,100,420,0.165412144
2.125,11,2.375,400,420,0.165417504
2,8,2.375,440,480,0.165454949
2.25,11,2,480,460,0.165456137
2,11,2.375,420,440,0.16546261
1.5,10,2.25,180,420,0.165481236
2.25,11,2.25,400,460,0.165488237
2.25,11,2.5,400,440,0.165523292
1.5,10,2.25,340,340,0.16553054
2.125,11,2.5,420,420,0.165567851
2.125,10,2,480,480,0.165569973
2.125,11,2,420,480,0.165591119
2.5,10,2.25,480,460,0.165632482
2.125,11,2,460,460,0.165652928
2.375,11,2.125,460,460,0.165657799
2.125,9,2.25,400,460,0.165703575
2.375,11,2.25,400,480,0.165742306
2.25,10,2,400,400,0.165749895
2.375,11,2,420,480,0.165766256
2.375,11,2,420,400,0.165817836
2.25,8,2.25,400,480,0.165823158
2.25,10,2.25,260,260,0.165841349
2,11,2.5,460,400,0.16585785
2.5,12,2.25,180,260,0.165868116
2.375,8,2.5,440,420,0.165875635
1.5,8,2.25,340,260,0.165880603
2.25,11,2.25,400,480,0.165918511
2.375,9,2.125,460,480,0.16592043
1.5,14,2,420,340,0.165926212
2.25,11,2.125,460,460,0.165972916
2.375,11,2,480,460,0.166016307
2.25,8,2.5,180,180,0.16602963
2.5,11,2.25,400,460,0.166067938
2.125,8,2.125,400,480,0.166075383
1.75,10,2,420,340,0.166087307
2.5,8,2.375,440,480,0.166093215
2.25,14,2.25,100,420,0.166153301
2.5,12,2.25,260,420,0.166160169
2,8,2.125,400,400,0.166223606
2.25,8,2.125,400,480,0.166258249
2.5,8,2.5,420,440,0.166267721
2,11,2.125,440,420,0.166282236
2.5,8,2.25,420,440,0.166307855
2.5,10,2.5,260,420,0.166349993
2.25,6,2.5,420,420,0.166358471
2.5,10,2.375,480,460,0.166423493
2.5,11,2.125,460,400,0.166425789
2.5,11,2,420,480,0.166446174
1.75,6,2.5,340,340,0.166459149
2,11,2.375,400,420,0.166465601
1.5,14,2.25,100,340,0.16649024
2.25,9,2.5,440,480,0.166509551
2.125,8,2.375,440,480,0.166534338
2,10,2.5,480,440,0.166537346
1.75,12,2.25,340,260,0.166538334
2.375,10,2.25,480,460,0.166566594
2.25,10,2.5,460,440,0.166610183
2.5,8,2.5,340,180,0.166610484
2,8,2.375,460,420,0.166626897
2.25,10,2,480,480,0.166658147
2.25,11,2,400,440,0.166687141
2.5,8,2.5,400,460,0.16669551
2.25,10,2,180,420,0.166726544
2.125,8,2.125,400,400,0.166728142
2.125,10,2,440,480,0.166766306
2.25,8,2.125,400,440,0.166778035
2.125,11,2.125,460,460,0.166790787
2.5,12,2,420,340,0.16681303
2,8,2.375,420,420,0.166816863
2,11,2,420,460,0.16683648
2,9,2.125,440,420,0.166848287
2.25,12,2.25,340,420,0.166981723
2.125,9,2.125,480,440,0.166987411
2.25,10,2,440,420,0.166994028
2.5,10,2.5,180,100,0.167019526
1.75,12,2,180,180,0.167034324
2.125,10,2.5,460,440,0.167035789
2.375,11,2.25,400,460,0.167036743
2.25,12,2,180,340,0.167039146
1.75,8,2.5,100,100,0.167045308
2.5,11,2.375,440,480,0.167049862
2.125,11,2.5,400,440,0.16707526
2,6,2.25,260,420,0.167079799
2.5,9,2.5,420,420,0.167106904
2,6,2.5,340,180,0.167137199
1.5,12,2.25,420,260,0.167145048
2.375,10,2,440,420,0.167152805
2.5,10,2.25,180,180,0.167154839
2.25,11,2.5,420,480,0.167162102
2.25,14,2,180,340,0.167172191
2.5,6,2.5,180,180,0.167209066
2.5,10,2.25,260,260,0.167216019
2.25,9,2.25,460,460,0.167251849
2.375,11,2.375,420,420,0.167272764
2.25,8,2.125,480,420,0.16727821
2,11,2.25,400,480,0.167425148
1.75,12,2.25,260,420,0.167459562
2.5,10,2.25,260,180,0.167478016
2.25,8,2.125,400,400,0.167494562
2.125,8,2.5,440,420,0.167525199
2.375,11,2.5,480,440,0.167547438
2,8,2,480,400,0.167566845
2.25,8,2.5,440,420,0.167614597
2.25,11,2.125,440,420,0.16763017
1.5,10,2,420,340,0.167637931
2.125,9,2.5,440,480,0.167685984
2.125,10,2,440,420,0.167692693
2.25,8,2.5,460,480,0.16770838
1.75,8,2.5,100,260,0.167731647
2.125,11,2.375,420,420,0.167768368
2.125,11,2.125,440,420,0.167798864
2,11,2.375,440,400,0.167806421
2.25,10,2.5,180,100,0.16780678
2,8,2.5,460,440,0.167806974
2,8,2.125,460,480,0.167821288
2.5,6,2.5,260,180,0.167898517
2.125,8,2.5,460,480,0.167910569
2,11,2.375,440,440,0.167918751
2.5,6,2.25,260,100,0.167931387
2.25,14,2.25,420,340,0.167937799
2,12,2,100,340,0.16795405
2,9,2.25,400,420,0.167965092
1.75,8,2.5,340,180,0.167969982
2.25,11,2.375,460,400,0.168010878
2.125,10,2.125,400,440,0.168019405
2.375,9,2.125,400,460,0.168052724
2.5,12,2.5,420,420,0.168123289
1.5,14,2,420,420,0.168130893
1.75,10,2,420,420,0.168149308
2.5,11,2.5,460,480,0.168160158
