learn_rate,num_hidden_nodes,weight_range,beta,c,error
2,10,2.25,460,400,0.123595782
2.25,8,2.5,440,480,0.123605899
2.5,10,2.25,420,480,0.123615379
2.25,10,2.5,180,420,0.123660011
2.25,11,2.25,440,420,0.123692433
2.25,8,2.5,420,420,0.123703549
2.25,8,2.5,460,460,0.123838888
2.125,10,2.375,460,460,0.123840027
2.5,8,2.5,460,460,0.123871677
2,9,2.375,420,400,0.123897233
2.125,8,2.375,460,460,0.124099581
2.25,9,2.375,400,400,0.124339913
2,11,2.25,420,460,0.124358133
2.375,8,2.5,460,460,0.124424079
2.375,11,2.125,440,400,0.124427978
2.125,11,2.125,400,460,0.12446108
2.25,11,2.125,400,460,0.124537155
2.375,9,2.5,420,440,0.124595364
2.125,10,2.375,460,480,0.124600236
2.375,11,2.25,420,480,0.124691049
2.5,11,2.25,440,420,0.124743023
2.125,11,2.25,440,420,0.124766963
2.5,10,2.5,400,440,0.125001908
2.375,10,2.5,480,400,0.125141402
2.25,9,2.375,400,480,0.125174895
2.25,8,2.5,420,260,0.125212321
2.25,10,2.25,340,260,0.125219615
2.125,9,2.375,480,400,0.125276073
2.375,9,2.375,440,400,0.125305588
2.375,9,2.375,480,400,0.1253367
2.5,10,2.375,440,440,0.125336823
2.125,10,2.5,480,400,0.125360173
1.75,10,2.25,340,260,0.125362875
2.375,10,2.375,440,440,0.125420933
2.375,11,2.125,400,460,0.125438187
2.375,10,2.25,400,400,0.125472688
2,8,2.375,480,480,0.125498888
2,10,2.375,440,440,0.125641166
2.25,8,2.375,420,480,0.12567808
2.25,8,2.5,480,480,0.125704122
2.5,9,2.375,420,400,0.125724466
2.5,9,2.25,460,480,0.125732652
2.25,10,2.5,480,400,0.125751306
2.125,10,2.25,460,400,0.125784533
2.375,10,2.125,480,460,0.125812132
2.375,9,2.25,420,460,0.125861815
2.5,10,2.25,400,400,0.125892958
2,9,2.375,480,400,0.125926748
2.125,8,2.5,480,480,0.125929106
1.5,10,2.25,260,420,0.125947564
2.25,9,2.5,420,440,0.126093824
2.5,10,2.25,420,460,0.126156448
2.25,9,2.5,400,480,0.126234446
2.125,11,2.375,460,460,0.126236836
2,10,2.5,180,420,0.126299636
2.25,8,2.375,480,420,0.126436584
2.25,10,2.25,420,420,0.126521422
2.25,8,2.25,460,420,0.126558342
2,10,2.25,340,260,0.126636803
2.375,10,2.5,400,440,0.12663693
2.375,8,2.5,420,480,0.126655014
2.125,9,2.25,440,440,0.126702798
2.125,11,2.125,480,400,0.12673193
2.25,8,2.5,420,480,0.126796309
2.375,8,2.375,420,480,0.126972879
2.25,10,2.5,260,260,0.126975136
2.5,8,2.5,480,480,0.12698703
2.25,9,2.375,460,420,0.126991575
2.5,9,2.375,440,400,0.127051966
2.125,11,2.25,480,440,0.127056867
2.5,9,2.375,400,400,0.127103876
2.5,11,2.125,400,460,0.127104293
2,9,2.25,460,400,0.12711558
1.75,10,2.25,100,260,0.127138328
2.375,8,2.375,480,420,0.127176769
2.5,8,2.375,480,420,0.1272866
2.5,10,2.5,260,260,0.127291589
2.375,9,2.375,460,420,0.127320565
2.125,8,2.5,460,460,0.127325182
2.5,9,2.5,440,400,0.127334185
2.125,10,2.375,440,440,0.127374061
2,10,2.25,100,260,0.127376103
2.375,8,2.5,480,480,0.127418275
2.125,9,2.25,460,400,0.127453629
2.25,9,2.25,440,440,0.127488192
2,9,2.5,480,460,0.127492946
2.5,8,2.5,460,420,0.127512689
2.5,9,2.25,460,440,0.127522763
2.375,11,2.25,440,420,0.12756411
2.125,9,2.5,420,440,0.127577379
2,8,2.375,420,480,0.12758537
