Type,Subject #,criterion reached?,Completed Trials,Mean Accuracy (Ext),Block 1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,
2,142,0,64,0.75000,0.38,0.63,0.38,0.88,0.88,1.00,0.88,1.00,,,,,,,,,,,,,,,,
2,144,0,64,0.31250,0.25,0.38,0.38,0.00,0.38,0.38,0.25,0.50,,,,,,,,,,,,,,,,
2,144,0,64,0.48438,0.50,0.38,0.38,0.25,0.38,0.50,0.63,0.88,,,,,,,,,,,,,,,,
2,146,1,64,0.81250,0.63,0.75,0.63,0.88,0.75,0.88,1.00,1.00,,,,,,,,,,,,,,,,
2,148,1,32,0.93750,0.63,0.88,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,149,0,64,0.50000,0.13,0.25,0.25,0.38,0.63,0.75,0.75,0.88,,,,,,,,,,,,,,,,
2,149,0,64,0.57813,0.50,0.38,0.50,0.75,0.50,0.38,0.88,0.75,,,,,,,,,,,,,,,,
2,150,1,56,0.81250,0.50,0.38,0.75,1.00,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,151,0,64,0.43750,0.25,0.50,0.25,0.50,0.38,0.50,0.63,0.50,,,,,,,,,,,,,,,,
2,152,1,64,0.62500,0.13,0.63,0.25,0.63,0.63,0.75,1.00,1.00,,,,,,,,,,,,,,,,
2,154,1,48,0.82813,0.50,0.38,0.88,0.88,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,156,0,64,0.39063,0.50,0.25,0.38,0.50,0.38,0.25,0.50,0.38,,,,,,,,,,,,,,,,
2,158,0,64,0.35938,0.38,0.25,0.13,0.38,0.13,0.50,0.63,0.50,,,,,,,,,,,,,,,,
2,158,1,32,0.96875,0.88,0.88,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,159,0,64,0.71875,0.38,0.75,0.75,0.88,0.75,0.75,0.75,0.75,,,,,,,,,,,,,,,,
2,160,0,64,0.45313,0.50,0.25,0.38,0.38,0.63,0.63,0.50,0.38,,,,,,,,,,,,,,,,
2,160,1,56,0.70313,0.50,0.38,0.50,0.50,0.75,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,160,0,64,0.56250,0.63,0.50,0.50,0.63,0.75,0.38,0.38,0.75,,,,,,,,,,,,,,,,
2,161,1,24,0.96875,0.75,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,163,1,32,0.87500,0.25,0.75,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,164,1,24,0.96875,0.75,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,165,1,24,0.95313,0.63,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,167,1,40,0.90625,0.75,0.75,0.75,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,167,1,48,0.78125,0.38,0.38,0.63,0.88,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,168,0,64,0.65625,0.50,0.75,0.63,0.75,0.50,0.75,0.75,0.63,,,,,,,,,,,,,,,,
2,168,1,48,0.84375,0.38,0.75,0.75,0.88,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,169,1,24,0.95313,0.63,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,170,1,64,0.62500,0.88,0.38,0.25,0.25,0.50,0.75,1.00,1.00,,,,,,,,,,,,,,,,
2,170,0,64,0.50000,0.25,0.50,0.38,0.38,0.75,0.38,0.75,0.63,,,,,,,,,,,,,,,,
2,174,0,64,0.76563,0.63,0.50,0.88,0.75,0.75,0.88,0.88,0.88,,,,,,,,,,,,,,,,
2,174,1,24,0.92188,0.38,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,177,0,64,0.56250,0.38,0.50,0.50,0.75,0.63,0.63,0.63,0.50,,,,,,,,,,,,,,,,
2,178,1,56,0.76563,0.38,0.63,0.75,0.50,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,179,0,64,0.57813,0.50,0.63,0.38,0.25,0.50,0.50,0.88,1.00,,,,,,,,,,,,,,,,
2,179,0,64,0.42188,0.25,0.38,0.50,0.50,0.25,0.63,0.38,0.50,,,,,,,,,,,,,,,,
2,180,0,64,0.46875,0.38,0.25,0.25,0.88,0.50,0.50,0.63,0.38,,,,,,,,,,,,,,,,
2,180,1,48,0.73438,0.25,0.63,0.50,0.50,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,181,1,32,0.92188,0.63,0.75,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,181,1,24,0.98438,0.88,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,182,1,48,0.89063,0.50,0.75,1.00,0.88,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,184,1,24,0.93750,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,185,0,64,0.42188,0.50,0.25,0.38,0.63,0.63,0.50,0.38,0.13,,,,,,,,,,,,,,,,
2,185,1,56,0.78125,0.63,0.63,0.88,0.50,0.63,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,187,1,56,0.75000,0.63,0.38,0.63,0.50,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,188,1,32,0.95313,0.75,0.88,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,189,0,64,0.54688,0.50,0.50,0.50,0.38,0.38,0.63,0.75,0.75,,,,,,,,,,,,,,,,
2,191,0,64,0.62500,0.38,0.50,0.63,0.50,0.75,0.75,0.88,0.63,,,,,,,,,,,,,,,,
2,192,0,64,0.45313,0.38,0.38,0.63,0.25,0.38,0.63,0.38,0.63,,,,,,,,,,,,,,,,
2,192,0,64,0.53125,0.50,0.63,0.63,0.38,0.50,0.63,0.63,0.38,,,,,,,,,,,,,,,,
2,193,1,24,0.95313,0.63,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,195,0,64,0.76563,0.50,0.50,0.88,0.63,0.75,1.00,0.88,1.00,,,,,,,,,,,,,,,,
2,195,0,64,0.45313,0.38,0.75,0.38,0.13,0.13,0.50,0.75,0.63,,,,,,,,,,,,,,,,
2,196,0,64,0.76563,0.50,0.63,0.63,0.75,0.88,1.00,0.88,0.88,,,,,,,,,,,,,,,,
2,197,1,64,0.65625,0.50,0.38,0.63,0.63,0.38,0.75,1.00,1.00,,,,,,,,,,,,,,,,
2,200,1,24,0.98438,0.88,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,201,0,64,0.60938,0.25,0.38,0.50,0.50,0.88,0.88,0.75,0.75,,,,,,,,,,,,,,,,
2,202,0,64,0.42188,0.50,0.50,0.25,0.38,0.38,0.38,0.63,0.38,,,,,,,,,,,,,,,,
2,202,1,24,0.93750,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,203,1,48,0.89063,0.63,0.88,0.88,0.75,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,203,1,32,0.85938,0.13,0.75,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,206,0,64,0.59375,0.25,0.25,0.50,0.75,0.63,0.63,0.75,1.00,,,,,,,,,,,,,,,,
2,206,1,24,0.96875,0.75,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,207,0,64,0.45313,0.38,0.38,0.50,0.13,0.75,0.63,0.50,0.38,,,,,,,,,,,,,,,,
2,208,0,64,0.65625,0.63,0.63,0.50,0.63,0.50,0.75,0.88,0.75,,,,,,,,,,,,,,,,
2,208,1,24,0.92188,0.38,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,209,1,24,0.98438,0.88,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,211,0,64,0.62500,0.50,0.50,0.63,0.50,0.50,0.75,0.63,1.00,,,,,,,,,,,,,,,,
2,213,0,64,0.57813,0.50,0.50,0.38,0.38,0.63,0.75,0.75,0.75,,,,,,,,,,,,,,,,
2,214,0,64,0.56250,0.38,0.50,0.75,0.50,0.38,0.63,0.75,0.63,,,,,,,,,,,,,,,,
2,215,1,48,0.90625,0.50,0.88,1.00,0.88,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,218,1,32,0.89063,0.50,0.63,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,219,0,64,0.73438,0.25,0.50,0.88,1.00,0.88,0.75,0.75,0.88,,,,,,,,,,,,,,,,
2,222,0,64,0.45313,0.50,0.13,0.50,0.38,0.38,0.50,0.63,0.63,,,,,,,,,,,,,,,,
2,223,0,64,0.59375,0.38,0.63,0.63,0.38,0.75,0.50,0.63,0.88,,,,,,,,,,,,,,,,
2,224,0,64,0.43750,0.25,0.38,0.50,0.13,0.75,0.63,0.25,0.63,,,,,,,,,,,,,,,,
2,225,0,64,0.45313,0.38,0.63,0.38,0.38,0.38,0.38,0.63,0.50,,,,,,,,,,,,,,,,
2,225,1,56,0.93750,0.75,1.00,0.88,1.00,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,226,1,40,0.90625,0.50,0.88,0.88,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,226,1,24,0.95313,0.63,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,227,1,56,0.73438,0.50,0.50,0.50,0.50,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
2,229,1,64,0.71875,0.50,0.50,0.38,0.75,0.75,0.88,1.00,1.00,,,,,,,,,,,,,,,,
2,231,1,24,0.98438,0.88,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,100,0,64,0.70313,0.75,0.50,0.75,0.63,0.63,0.63,0.88,0.88,,,,,,,,,,,,,,,,
4,101,1,16,1.00000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,102,0,64,0.51563,0.50,0.63,0.50,0.50,0.50,0.38,0.38,0.75,,,,,,,,,,,,,,,,
4,102,0,64,0.51563,0.50,0.25,0.38,0.38,0.63,0.50,0.63,0.88,,,,,,,,,,,,,,,,
4,103,0,64,0.82813,0.63,0.75,0.88,0.88,0.88,0.88,0.88,0.88,,,,,,,,,,,,,,,,
4,103,0,64,0.70313,0.63,0.63,1.00,0.63,0.75,0.75,0.63,0.63,,,,,,,,,,,,,,,,
4,104,0,64,0.48438,0.13,0.38,0.38,0.63,0.88,0.63,0.25,0.63,,,,,,,,,,,,,,,,
4,105,1,48,0.81250,0.38,0.63,0.63,0.88,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,106,0,64,0.59375,0.75,0.50,0.63,0.63,0.50,0.50,0.50,0.75,,,,,,,,,,,,,,,,
4,107,0,64,0.65625,0.63,0.75,0.63,0.63,0.63,0.63,0.63,0.75,,,,,,,,,,,,,,,,
4,107,1,48,0.84375,0.38,0.63,0.88,0.88,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,108,0,64,0.87500,0.63,1.00,0.75,0.88,0.88,1.00,0.88,1.00,,,,,,,,,,,,,,,,
4,110,1,64,0.84375,0.63,0.63,0.88,0.88,0.88,0.88,1.00,1.00,,,,,,,,,,,,,,,,
4,111,1,56,0.84375,0.63,0.75,0.75,0.75,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,112,0,64,0.76563,0.50,0.88,0.75,0.50,0.88,1.00,0.88,0.75,,,,,,,,,,,,,,,,
4,112,1,64,0.73438,0.50,0.63,0.63,0.63,0.75,0.75,1.00,1.00,,,,,,,,,,,,,,,,
4,113,1,40,0.85938,0.50,0.50,0.88,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,114,0,64,0.48438,0.25,0.50,0.63,0.50,0.50,0.63,0.38,0.50,,,,,,,,,,,,,,,,
4,115,1,64,0.81250,0.50,0.63,0.88,0.75,0.88,0.88,1.00,1.00,,,,,,,,,,,,,,,,
4,116,0,64,0.73438,0.63,0.75,0.88,0.75,0.63,0.88,0.75,0.63,,,,,,,,,,,,,,,,
4,116,0,64,0.85938,0.50,0.88,0.88,1.00,0.88,0.88,1.00,0.88,,,,,,,,,,,,,,,,
4,116,0,64,0.75000,0.38,0.88,0.75,0.63,0.75,0.75,0.88,1.00,,,,,,,,,,,,,,,,
4,117,0,64,0.62500,0.50,0.63,0.75,0.38,0.50,0.88,0.63,0.75,,,,,,,,,,,,,,,,
4,118,0,64,0.50000,0.38,0.75,0.38,0.50,0.38,0.75,0.50,0.38,,,,,,,,,,,,,,,,
4,118,1,40,0.92188,0.63,0.88,0.88,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,119,0,64,0.48438,0.50,0.50,0.63,0.38,0.38,0.25,0.75,0.50,,,,,,,,,,,,,,,,
4,119,0,64,0.62500,0.50,0.63,0.50,0.38,0.63,0.75,1.00,0.63,,,,,,,,,,,,,,,,
4,120,0,64,0.59375,0.50,0.63,0.63,0.63,0.63,0.50,0.50,0.75,,,,,,,,,,,,,,,,
4,121,0,64,0.53125,0.38,0.50,0.50,0.38,0.63,0.75,0.38,0.75,,,,,,,,,,,,,,,,
4,121,0,64,0.73438,0.50,0.63,0.75,0.63,0.75,0.88,0.88,0.88,,,,,,,,,,,,,,,,
4,123,1,48,0.87500,0.63,0.75,0.88,0.75,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,123,1,56,0.81250,0.63,0.75,0.50,0.88,0.75,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,124,0,64,0.54688,0.38,0.50,0.63,0.50,0.63,0.63,0.63,0.50,,,,,,,,,,,,,,,,
4,125,0,64,0.75000,0.50,0.75,0.63,0.75,0.88,0.88,1.00,0.63,,,,,,,,,,,,,,,,
4,125,1,48,0.84375,0.38,0.75,1.00,0.63,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,127,0,64,0.46875,0.25,0.38,0.63,0.38,0.63,0.63,0.38,0.50,,,,,,,,,,,,,,,,
4,128,0,64,0.50000,0.63,0.63,0.25,0.75,0.50,0.63,0.50,0.13,,,,,,,,,,,,,,,,
4,129,0,64,0.54688,0.50,0.38,0.38,0.25,0.75,0.75,0.63,0.75,,,,,,,,,,,,,,,,
4,130,0,64,0.70313,0.75,0.38,0.63,0.75,0.75,0.75,0.63,1.00,,,,,,,,,,,,,,,,
4,130,0,64,0.62500,0.75,0.75,0.63,0.50,0.50,0.63,0.63,0.63,,,,,,,,,,,,,,,,
4,131,0,64,0.59375,0.25,0.38,0.50,0.63,0.75,0.75,0.63,0.88,,,,,,,,,,,,,,,,
4,131,0,64,0.62500,0.50,0.63,0.75,0.75,0.75,0.50,0.50,0.63,,,,,,,,,,,,,,,,
4,132,0,64,0.76563,0.50,0.88,0.75,0.75,0.63,0.88,0.75,1.00,,,,,,,,,,,,,,,,
4,132,0,64,0.64063,0.38,0.75,0.63,0.75,0.63,0.63,0.63,0.75,,,,,,,,,,,,,,,,
4,132,0,64,0.68750,0.50,0.75,0.75,0.75,0.75,0.63,0.75,0.63,,,,,,,,,,,,,,,,
4,133,0,64,0.60938,0.63,0.75,0.50,0.63,0.50,0.75,0.50,0.63,,,,,,,,,,,,,,,,
