Type,Subject #,criterion reached?,Completed Trials,Mean Accuracy (Ext),Block 1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,
4,159,0,64,0.68750,0.88,0.63,0.75,0.50,0.88,0.63,0.63,0.63,,,,,,,,,,,,,,,,
4,159,0,64,0.59375,0.63,0.63,0.50,0.50,0.75,0.63,0.63,0.50,,,,,,,,,,,,,,,,
4,161,0,64,0.59375,0.50,0.38,0.75,0.63,0.75,0.88,0.25,0.63,,,,,,,,,,,,,,,,
4,161,0,64,0.54688,0.63,0.38,0.75,0.50,0.50,0.63,0.38,0.63,,,,,,,,,,,,,,,,
4,162,0,64,0.54688,0.50,0.38,0.75,0.50,0.50,0.63,0.50,0.63,,,,,,,,,,,,,,,,
4,162,0,64,0.64063,0.50,0.50,0.50,0.38,0.63,0.75,0.88,1.00,,,,,,,,,,,,,,,,
4,162,0,64,0.56250,0.38,0.75,0.38,0.50,0.63,0.88,0.50,0.50,,,,,,,,,,,,,,,,
4,163,0,64,0.62500,0.50,0.63,0.63,0.50,0.63,0.75,0.63,0.75,,,,,,,,,,,,,,,,
4,163,0,64,0.57813,0.50,0.63,0.50,0.63,0.50,0.38,0.88,0.63,,,,,,,,,,,,,,,,
4,164,0,64,0.64063,0.50,0.50,0.50,0.63,0.63,0.75,1.00,0.63,,,,,,,,,,,,,,,,
4,164,0,64,0.71875,0.75,0.63,0.75,0.75,0.75,0.75,0.63,0.75,,,,,,,,,,,,,,,,
4,165,0,64,0.71875,0.13,0.63,0.63,0.88,0.75,1.00,0.88,0.88,,,,,,,,,,,,,,,,
4,165,0,64,0.65625,0.63,0.75,0.75,0.75,0.63,0.63,0.63,0.50,,,,,,,,,,,,,,,,
4,166,0,64,0.79688,0.75,0.75,0.50,0.88,0.75,0.88,0.88,1.00,,,,,,,,,,,,,,,,
4,166,0,64,0.82813,0.63,0.75,0.88,0.88,1.00,0.75,0.88,0.88,,,,,,,,,,,,,,,,
4,166,0,64,0.43750,0.25,0.50,0.63,0.38,0.63,0.50,0.25,0.38,,,,,,,,,,,,,,,,
4,167,0,64,0.37500,0.63,0.38,0.63,0.25,0.00,0.50,0.25,0.38,,,,,,,,,,,,,,,,
4,168,0,64,0.73438,0.63,0.75,0.63,0.63,0.88,0.50,0.88,1.00,,,,,,,,,,,,,,,,
4,169,0,64,0.76563,0.63,0.75,0.38,0.63,0.88,1.00,0.88,1.00,,,,,,,,,,,,,,,,
4,169,0,64,0.65625,0.63,0.50,0.75,0.38,0.63,0.63,0.88,0.88,,,,,,,,,,,,,,,,
4,170,0,64,0.57813,0.50,0.50,0.50,0.38,0.63,0.75,0.50,0.88,,,,,,,,,,,,,,,,
4,171,0,64,0.60938,0.50,0.75,0.75,0.63,0.75,0.50,0.50,0.50,,,,,,,,,,,,,,,,
4,171,0,64,0.65625,0.38,0.88,0.63,0.63,0.63,0.75,0.63,0.75,,,,,,,,,,,,,,,,
4,171,0,64,0.50000,0.63,0.38,0.25,0.25,0.38,0.63,0.63,0.88,,,,,,,,,,,,,,,,
4,172,0,64,0.65625,0.38,0.50,0.75,0.63,0.63,0.88,0.75,0.75,,,,,,,,,,,,,,,,
4,172,0,64,0.57813,0.38,0.63,0.50,0.63,0.63,0.63,0.75,0.50,,,,,,,,,,,,,,,,
4,172,0,64,0.71875,0.63,0.50,0.75,0.75,0.75,0.75,0.88,0.75,,,,,,,,,,,,,,,,
4,173,0,64,0.67188,0.25,0.63,0.63,0.63,0.88,0.88,0.75,0.75,,,,,,,,,,,,,,,,
4,173,0,64,0.70313,0.38,0.75,0.63,0.75,0.88,0.63,0.75,0.88,,,,,,,,,,,,,,,,
4,173,0,64,0.65625,0.38,0.50,0.63,0.50,0.63,0.88,0.88,0.88,,,,,,,,,,,,,,,,
4,174,1,48,0.85938,0.63,0.75,0.88,0.63,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,175,0,64,0.56250,0.38,0.25,0.75,0.63,0.88,0.25,0.75,0.63,,,,,,,,,,,,,,,,
4,175,0,64,0.73438,0.63,0.50,0.38,0.88,0.75,1.00,0.88,0.88,,,,,,,,,,,,,,,,
4,175,0,64,0.50000,0.25,0.38,0.63,0.63,0.38,0.63,0.50,0.63,,,,,,,,,,,,,,,,
4,176,0,64,0.62500,0.75,0.50,0.63,0.63,0.38,0.75,0.75,0.63,,,,,,,,,,,,,,,,
4,176,1,56,0.85938,0.25,1.00,0.75,1.00,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,176,1,56,0.89063,0.75,0.63,0.88,1.00,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,177,0,64,0.46875,0.38,0.75,0.50,0.50,0.38,0.38,0.50,0.38,,,,,,,,,,,,,,,,
4,177,0,64,0.50000,0.13,0.75,0.63,0.13,0.50,0.50,0.75,0.63,,,,,,,,,,,,,,,,
4,178,1,64,0.78125,0.63,0.75,0.75,0.63,0.75,0.75,1.00,1.00,,,,,,,,,,,,,,,,
4,178,0,64,0.75000,0.38,0.50,0.75,0.88,0.88,0.88,0.75,1.00,,,,,,,,,,,,,,,,
4,179,0,64,0.59375,0.50,0.50,0.63,0.50,0.75,0.75,0.50,0.63,,,,,,,,,,,,,,,,
4,180,0,64,0.76563,0.50,0.88,0.75,0.75,0.88,0.63,0.88,0.88,,,,,,,,,,,,,,,,
4,181,1,32,0.92188,0.50,0.88,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,182,0,64,0.75000,0.38,0.63,0.75,0.63,0.88,0.88,1.00,0.88,,,,,,,,,,,,,,,,
4,182,1,40,0.90625,0.63,0.88,0.75,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,183,0,64,0.59375,0.63,0.50,0.38,0.38,0.63,0.75,0.75,0.75,,,,,,,,,,,,,,,,
4,183,0,64,0.76563,0.63,0.88,0.63,0.75,0.88,0.63,1.00,0.75,,,,,,,,,,,,,,,,
4,183,0,64,0.53125,0.50,0.13,0.25,0.63,0.63,0.50,0.75,0.88,,,,,,,,,,,,,,,,
4,184,0,64,0.68750,0.38,0.75,0.75,0.75,0.63,0.75,0.88,0.63,,,,,,,,,,,,,,,,
4,184,0,64,0.71875,0.63,0.75,0.75,0.88,0.75,0.63,0.63,0.75,,,,,,,,,,,,,,,,
4,185,1,56,0.81250,0.50,0.63,0.75,0.88,0.75,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,186,0,64,0.48438,0.50,0.63,0.13,0.63,0.25,0.63,0.25,0.88,,,,,,,,,,,,,,,,
4,187,1,56,0.81250,0.75,0.75,0.50,0.63,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,189,0,64,0.68750,0.38,0.63,0.88,0.88,0.88,0.63,0.75,0.50,,,,,,,,,,,,,,,,
4,190,0,64,0.60938,0.38,0.50,0.50,0.63,0.63,0.50,0.88,0.88,,,,,,,,,,,,,,,,
4,191,0,64,0.62500,0.63,0.50,0.75,0.63,0.88,0.63,0.75,0.25,,,,,,,,,,,,,,,,
4,193,0,64,0.65625,0.63,0.75,0.63,0.50,0.50,0.63,0.63,1.00,,,,,,,,,,,,,,,,
4,194,0,64,0.64063,0.63,0.50,0.38,0.75,0.63,0.50,1.00,0.75,,,,,,,,,,,,,,,,
4,194,1,48,0.85938,0.38,0.88,0.75,0.88,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,196,0,64,0.71875,0.50,0.75,0.63,0.63,0.75,0.88,0.88,0.75,,,,,,,,,,,,,,,,
4,197,0,64,0.65625,0.38,0.25,0.75,0.88,0.63,0.88,0.88,0.63,,,,,,,,,,,,,,,,
4,198,1,64,0.70313,0.38,0.63,0.63,0.63,0.75,0.63,1.00,1.00,,,,,,,,,,,,,,,,
4,198,0,64,0.65625,0.50,0.63,0.75,0.75,0.75,0.63,0.63,0.63,,,,,,,,,,,,,,,,
4,199,0,64,0.76563,0.50,0.88,0.88,0.88,0.63,0.75,0.88,0.75,,,,,,,,,,,,,,,,
4,199,1,56,0.79688,0.63,0.63,0.38,0.88,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,200,0,64,0.65625,0.63,0.75,0.63,0.63,0.75,0.63,0.63,0.63,,,,,,,,,,,,,,,,
4,201,0,64,0.50000,0.13,0.50,0.38,0.63,0.50,0.50,0.75,0.63,,,,,,,,,,,,,,,,
4,204,0,64,0.70313,0.63,0.38,0.75,0.75,0.75,0.75,0.75,0.88,,,,,,,,,,,,,,,,
4,204,0,64,0.67188,0.63,0.38,0.63,0.63,0.75,0.88,1.00,0.50,,,,,,,,,,,,,,,,
4,205,0,64,0.79688,0.63,0.75,0.63,0.88,0.88,0.88,0.88,0.88,,,,,,,,,,,,,,,,
4,205,0,64,0.64063,0.50,0.63,0.63,0.88,0.75,0.75,0.50,0.50,,,,,,,,,,,,,,,,
4,207,1,48,0.84375,0.38,1.00,0.50,0.88,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,209,0,64,0.70313,0.25,0.75,0.63,0.75,0.75,0.88,0.88,0.75,,,,,,,,,,,,,,,,
4,210,0,64,0.62500,0.50,0.63,0.63,0.50,0.88,0.50,0.63,0.75,,,,,,,,,,,,,,,,
4,210,0,64,0.75000,0.63,0.63,0.38,0.88,0.75,0.88,1.00,0.88,,,,,,,,,,,,,,,,
4,211,0,64,0.81250,0.50,0.63,0.75,0.88,0.88,1.00,0.88,1.00,,,,,,,,,,,,,,,,
4,212,0,64,0.73438,0.75,0.75,0.75,0.63,0.75,0.88,0.75,0.63,,,,,,,,,,,,,,,,
4,212,1,48,0.87500,0.50,0.75,0.88,0.88,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,213,0,64,0.68750,0.88,0.75,0.50,0.63,0.75,0.63,0.75,0.63,,,,,,,,,,,,,,,,
4,214,1,56,0.78125,0.25,0.63,0.75,0.75,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,215,0,64,0.68750,0.38,0.63,0.50,0.88,0.75,0.75,0.75,0.88,,,,,,,,,,,,,,,,
4,216,1,56,0.82813,0.50,0.63,0.75,0.88,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,216,1,64,0.76563,0.38,0.75,0.75,0.63,0.75,0.88,1.00,1.00,,,,,,,,,,,,,,,,
4,217,0,64,0.81250,0.75,0.75,0.75,0.88,0.88,0.88,0.88,0.75,,,,,,,,,,,,,,,,
4,217,1,32,0.90625,0.50,0.75,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,218,0,64,0.71875,0.50,0.75,0.63,0.75,0.63,0.63,0.88,1.00,,,,,,,,,,,,,,,,
4,219,0,64,0.75000,0.50,0.63,0.88,0.63,0.88,0.75,0.88,0.88,,,,,,,,,,,,,,,,
4,220,1,56,0.82813,0.38,0.75,0.75,0.88,0.88,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,220,1,56,0.70313,0.38,0.63,0.75,0.38,0.50,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,221,0,64,0.73438,0.50,0.38,0.75,0.75,0.75,0.88,0.88,1.00,,,,,,,,,,,,,,,,
4,221,1,56,0.71875,0.25,0.63,0.38,0.75,0.75,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,222,1,40,0.84375,0.25,0.75,0.75,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
4,223,0,64,0.68750,0.63,0.75,0.75,0.88,0.75,0.63,0.38,0.75,,,,,,,,,,,,,,,,
4,224,0,64,0.79688,0.63,0.88,0.88,0.88,0.63,0.88,0.75,0.88,,,,,,,,,,,,,,,,
4,228,0,64,0.67188,0.38,0.63,0.75,0.75,0.50,0.75,0.63,1.00,,,,,,,,,,,,,,,,
4,233,0,64,0.62500,0.25,0.63,0.63,0.63,0.75,0.63,0.75,0.75,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,0.72,0.51,0.64,0.69,0.70,0.76,0.80,0.83,0.85,,,,,,,,,,,,,,,,
4,,,,0.69,0.51,0.65,0.66,0.69,0.73,0.76,0.77,0.79,,,,,,,,,,,,,,,,
