,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
471,0.63680302,"[2.494816531608922, 11, 1.9661556037501848, 460, 468]"
66,0.858645983,"[2.8541211743799124, 10, 1.5020916748341873, 462, 491]"
206,0.905363859,"[2.0749081922095236, 12, 1.8273161979169101, 491, 529]"
366,0.945722635,"[1.575911580627496, 11, 1.7527540165986604, 465, 477]"
23,1.019857059,"[2.2028621286720584, 11, 2.2082677302601548, 465, 507]"
461,1.024238262,"[1.1979591989182408, 15, 2.0363600198010463, 470, 499]"
251,1.075479557,"[2.485811151641023, 12, 1.872473486303547, 495, 466]"
112,1.09798315,"[1.3906403999961574, 13, 2.07170573581973, 483, 474]"
103,1.098966811,"[2.5022196251479905, 13, 1.638080868944071, 523, 463]"
10,1.198223155,"[1.8217990072949695, 10, 2.7234685900540647, 538, 536]"
488,1.222641591,"[1.283650046388209, 16, 2.369785099104823, 458, 525]"
474,1.230170373,"[2.1209696153704467, 12, 1.425877521613991, 527, 509]"
449,1.23073112,"[2.874101909685577, 12, 2.1629691394590074, 519, 546]"
408,1.287703319,"[1.4968068922465472, 16, 2.495360536228889, 477, 487]"
8,1.324879777,"[2.8051008923582383, 10, 2.960025537119632, 479, 498]"
192,1.330358644,"[2.543904944642483, 12, 1.4267811158027257, 450, 549]"
270,1.331081023,"[1.2272305627156015, 15, 1.8223219124135368, 501, 540]"
330,1.340527058,"[1.2188486221361614, 17, 1.9631308063677393, 531, 481]"
252,1.349621916,"[2.89357230213456, 13, 1.917055649135473, 507, 475]"
303,1.38624205,"[2.059259271048197, 11, 1.2504384595629239, 520, 453]"
115,1.416328615,"[2.329823230303025, 11, 1.5983257751124786, 468, 493]"
362,1.43418457,"[1.6028950195414575, 19, 1.794615219279476, 538, 509]"
118,1.449080887,"[2.7009555792417337, 12, 1.9428876031323234, 513, 528]"
244,1.458379978,"[2.2091489171120635, 15, 2.8680353767824833, 541, 466]"
384,1.462482052,"[1.4554961735320577, 17, 1.8304677440535535, 502, 484]"
396,1.463007697,"[2.383824977535666, 12, 1.6675696877013246, 502, 541]"
75,1.463511362,"[2.630697025432277, 17, 1.3208897649699596, 456, 455]"
107,1.487458513,"[1.296203353903966, 10, 2.0224282046321984, 537, 465]"
186,1.494715663,"[1.7372621283013467, 16, 2.3961163510082315, 492, 484]"
139,1.500973987,"[2.5006115707835113, 15, 1.2937002501885684, 510, 547]"
154,1.501121064,"[2.102545186041314, 11, 1.5961829332255109, 517, 520]"
307,1.503215648,"[2.976503916132211, 13, 1.0922270288574305, 518, 520]"
99,1.505762808,"[1.7342106154572328, 15, 1.723021597310375, 486, 472]"
125,1.555410775,"[1.811976494569556, 11, 2.338275012766606, 531, 495]"
72,1.560568725,"[2.0777257330519396, 15, 1.4343358292179782, 509, 492]"
371,1.573033119,"[1.0228500827189981, 19, 1.696860152701511, 492, 494]"
54,1.590419457,"[2.6618350525930357, 14, 1.9238134062839567, 501, 544]"
334,1.591036268,"[1.9552903882343, 17, 1.6142226887863873, 508, 462]"
215,1.592345875,"[2.0084744281162807, 19, 1.2365791217271933, 534, 520]"
78,1.612295879,"[2.8711585707045804, 12, 1.8108648543881005, 455, 481]"
234,1.623670437,"[1.9939407327786005, 15, 1.7426073006561502, 506, 454]"
285,1.6272008,"[1.7597817558561575, 11, 1.584850994887785, 511, 503]"
315,1.632071644,"[2.744636691988932, 10, 1.648693208730323, 492, 542]"
431,1.637429978,"[2.85603776765824, 16, 1.5759927141510142, 456, 526]"
4,1.645767994,"[2.83449361759925, 13, 1.5120453875279969, 472, 485]"
310,1.65064681,"[2.4475569943791653, 10, 1.8123689167194237, 536, 522]"
213,1.652843165,"[2.10796067254636, 18, 1.73292499074884, 520, 545]"
160,1.65537616,"[1.707578587650513, 15, 1.81027083912774, 454, 502]"
364,1.659924075,"[1.9473158948002647, 13, 1.2524256069301412, 472, 492]"
212,1.675307127,"[2.7265901874012557, 14, 2.5291212298864316, 547, 458]"
460,1.67909314,"[1.8235833514779265, 17, 2.191992332716721, 510, 471]"
121,1.692377091,"[1.7675142612396286, 17, 1.5852660038239232, 534, 486]"
214,1.694205795,"[2.067137719362809, 16, 2.4446368284475746, 464, 471]"
176,1.696969828,"[2.0514904573974597, 18, 1.0803066930969774, 523, 461]"
337,1.6973123,"[1.1464906043031147, 14, 1.9009014166182099, 537, 492]"
394,1.704382112,"[2.0949938623118216, 13, 2.281718798776538, 526, 522]"
208,1.710179737,"[2.038486362741718, 14, 1.5617335090592888, 462, 502]"
168,1.712540716,"[2.446310556586646, 12, 1.614408337298019, 530, 511]"
171,1.738333744,"[2.610376489096949, 16, 1.633871430579143, 515, 502]"
11,1.740248382,"[1.9199921235555097, 15, 1.0350423212005568, 504, 502]"
427,1.753893869,"[2.0990322551515677, 12, 1.182376946595003, 484, 523]"
182,1.75417517,"[2.604686496318645, 17, 1.6601798346507457, 547, 457]"
101,1.756662246,"[2.6323635109414605, 11, 1.3043685784233792, 524, 513]"
30,1.765888828,"[2.662214535100717, 10, 2.665979619118223, 484, 474]"
100,1.781244217,"[1.70685221435487, 16, 1.4872290194323763, 472, 491]"
390,1.794501507,"[2.0084574695064172, 10, 2.439869612412438, 527, 521]"
58,1.801415838,"[2.4565827022217492, 11, 1.8587975669636245, 529, 507]"
389,1.809581164,"[1.7767467513298343, 12, 1.9258100747237412, 542, 510]"
161,1.812239153,"[1.0769884504798137, 15, 2.0276388908011116, 477, 469]"
76,1.816135223,"[2.151554171516592, 12, 1.4564315617277641, 505, 538]"
280,1.821226885,"[1.732796552381683, 12, 2.1828270220403088, 524, 455]"
278,1.821672174,"[2.196041576754248, 11, 1.0261444420110304, 463, 549]"
38,1.822403556,"[2.9111354054674585, 19, 1.3101800529908185, 492, 495]"
220,1.833093631,"[2.4776546381324405, 13, 1.4321132054224281, 547, 534]"
349,1.835280038,"[1.9100239072403888, 12, 1.4006609900502376, 506, 542]"
157,1.84521083,"[2.5186727018647135, 10, 1.9806679143111512, 518, 532]"
201,1.846349006,"[2.839362088153953, 19, 1.0516169963022837, 451, 492]"
472,1.848842159,"[2.8573521290624058, 12, 1.2571656841605907, 468, 454]"
82,1.850441693,"[2.6170248163868726, 13, 2.045114201821454, 457, 508]"
313,1.874266918,"[2.1344710706287255, 18, 1.7116495808350867, 484, 481]"
216,1.889973033,"[1.945563295403661, 11, 1.8410088845136203, 516, 546]"
420,1.898681489,"[2.4269757491775987, 15, 1.4364868726015176, 536, 539]"
499,1.899618326,"[1.6999725799323184, 19, 1.6849988911616873, 484, 527]"
46,1.900293129,"[2.359048797070228, 15, 1.8197612045805431, 505, 507]"
96,1.909586696,"[2.8296219357982824, 10, 1.3525930662473868, 451, 549]"
440,1.910993382,"[2.232626924994993, 13, 1.4051863140096597, 510, 545]"
405,1.920188671,"[1.153387142049479, 13, 2.5474792500715386, 467, 480]"
85,1.92249515,"[2.9275483013785997, 17, 1.6457860901777148, 502, 470]"
464,1.928522475,"[1.4629503347293369, 13, 2.823626516808999, 498, 533]"
432,1.937487845,"[1.3005093073529206, 18, 1.4325758131205362, 477, 525]"
250,1.937890386,"[1.619398222145569, 20, 1.2518460099108044, 477, 511]"
28,1.938958313,"[1.9556479040264416, 13, 1.5463704705039003, 492, 472]"
193,1.939454699,"[2.4493131498420873, 12, 1.5248444882787946, 487, 510]"
16,1.945197416,"[1.638633009297811, 13, 2.1334553843120263, 467, 492]"
335,1.950490747,"[2.9773033815959975, 16, 1.234652262699944, 544, 498]"
263,1.952048149,"[1.6289671281217477, 18, 2.3936652375731846, 506, 536]"
327,1.953099423,"[2.6551293479005635, 12, 1.3986720487078554, 541, 533]"
249,1.9567602,"[2.7202524959844574, 17, 1.3758487001751534, 546, 461]"
131,1.958673996,"[1.689881239564774, 18, 1.2935968505077475, 462, 529]"
138,1.963272102,"[1.991673272294712, 16, 1.4927211917077412, 468, 494]"
339,1.987886992,"[2.253216895952126, 20, 1.3884058756695592, 521, 510]"
63,1.99135656,"[2.4392842154579846, 16, 1.2673775136541234, 464, 510]"
496,1.996738314,"[2.703612904789458, 16, 1.5263342804366706, 547, 469]"
451,2.000555079,"[2.9855333527175327, 12, 2.0761899720711936, 515, 497]"
70,2.001749372,"[2.073946593838884, 11, 1.8409441384253284, 512, 501]"
401,2.012914663,"[1.3014400366473087, 15, 1.4932623932362539, 463, 472]"
368,2.017615875,"[2.2000256072943887, 11, 1.3347912685022327, 526, 488]"
328,2.022796623,"[1.579531892407421, 16, 1.3961884561436895, 514, 456]"
224,2.027406395,"[2.0824274360044965, 19, 1.3481455599689798, 498, 457]"
79,2.027878961,"[2.498288481388303, 13, 1.1550575480265266, 486, 482]"
18,2.032919155,"[1.4704241023560343, 15, 1.9062301284339378, 464, 508]"
151,2.03395103,"[2.439718149156128, 12, 2.0278733754587286, 496, 464]"
374,2.03428321,"[2.143651748957344, 17, 1.7422143478004308, 452, 469]"
462,2.036823879,"[2.3510308894985528, 14, 1.3956807550366568, 509, 531]"
48,2.038192722,"[1.3062069487935182, 13, 2.3521820640845696, 468, 498]"
385,2.038324692,"[1.558603806170607, 10, 1.3624586060602706, 489, 476]"
123,2.042478687,"[1.2281435406634484, 18, 1.9657398321486517, 452, 497]"
159,2.043906125,"[1.9704921451535085, 18, 1.7806759730360602, 496, 484]"
33,2.054636097,"[1.250496345715691, 14, 1.4718612476792754, 486, 466]"
344,2.057857802,"[1.160217052402894, 19, 2.164140924765845, 512, 550]"
473,2.060356309,"[1.349060367384256, 11, 1.9808374023037476, 489, 547]"
312,2.06038083,"[1.672414805675956, 17, 1.7559261037567926, 476, 485]"
421,2.061170978,"[2.2313305823465432, 11, 1.489715640336935, 460, 512]"
383,2.062099935,"[1.0810039304755772, 10, 1.9445093455719074, 495, 511]"
381,2.064045897,"[1.177374203852703, 10, 2.841988228973758, 549, 503]"
149,2.065424325,"[2.582448564531588, 14, 1.6298059512087062, 522, 520]"
281,2.07009458,"[2.617095154695315, 19, 1.452197655469853, 454, 543]"
326,2.070396178,"[2.5260190848460384, 14, 1.25138839939459, 468, 517]"
400,2.073093228,"[1.3317193269607404, 20, 2.264764514662549, 536, 462]"
177,2.086515614,"[2.282165108255863, 18, 1.81913672488112, 453, 544]"
170,2.091902176,"[1.8099338556895008, 17, 2.1257104029296494, 514, 541]"
295,2.096208112,"[2.069881573600055, 10, 1.612193290738217, 484, 521]"
89,2.098241241,"[1.9578120381652222, 15, 2.1018576210827984, 504, 481]"
136,2.102496583,"[1.9694982572612503, 19, 1.3713801231549685, 470, 548]"
29,2.106479717,"[1.9563560945061278, 20, 1.079807282311834, 492, 522]"
450,2.107698216,"[2.279857374635569, 13, 1.0175632196877575, 466, 549]"
196,2.109857269,"[2.3592994358521944, 18, 1.0066514907197923, 468, 481]"
458,2.116511147,"[2.2329634680604085, 19, 1.5820028914505633, 515, 515]"
105,2.120457515,"[1.6629619048709228, 12, 1.7663554729832929, 488, 453]"
134,2.124944189,"[2.4030484418304328, 15, 1.2548010306779895, 510, 474]"
228,2.137523523,"[1.4516199553748699, 13, 2.1353444052237585, 507, 539]"
211,2.146810616,"[2.637929552707183, 17, 1.1796439003933956, 546, 542]"
73,2.148613695,"[1.1020083941563055, 17, 1.489836546950107, 483, 483]"
143,2.152425731,"[1.531980698363212, 20, 1.1635859843530476, 467, 455]"
256,2.163002738,"[1.314228515232462, 16, 1.244781308166304, 524, 487]"
492,2.170382868,"[1.679399486514869, 16, 1.9259841756404759, 476, 501]"
407,2.177509506,"[2.8292235288026655, 15, 1.7837403430556746, 537, 455]"
294,2.184555433,"[2.3994005289828406, 18, 1.8186677146806387, 536, 460]"
476,2.202693883,"[2.139663274698708, 11, 1.119356557432302, 503, 463]"
373,2.204909411,"[2.895922974144579, 11, 2.1438915115950365, 548, 481]"
27,2.20923328,"[1.9071106594211304, 16, 1.5971532485826136, 467, 502]"
409,2.212921172,"[2.8209420991788425, 12, 1.0227183419363168, 501, 458]"
5,2.220496528,"[2.6324853439794262, 18, 1.503611714297889, 473, 504]"
265,2.221035235,"[1.3988686994130917, 18, 1.1600560651827603, 512, 542]"
106,2.221603318,"[1.7657533447846316, 11, 1.2843905738690564, 483, 528]"
284,2.224063906,"[2.190628475310139, 10, 2.10008769060604, 500, 454]"
166,2.228794129,"[2.20447346436875, 13, 1.9122647117762996, 502, 458]"
183,2.239316159,"[1.8341784638497858, 14, 1.3709448475351536, 493, 469]"
287,2.247132566,"[2.7864576998979285, 12, 1.4268426770857974, 503, 479]"
352,2.247843951,"[2.6725609969254744, 19, 1.1951776424391167, 507, 517]"
438,2.252859463,"[2.803856421684215, 11, 1.2184534457420675, 461, 492]"
242,2.256123971,"[1.7735696110173003, 13, 1.1837566192121947, 498, 453]"
37,2.262490326,"[1.546001251808244, 20, 1.3386294757207982, 451, 480]"
463,2.266758286,"[1.189535215605594, 18, 1.6797545433633916, 519, 503]"
379,2.282528717,"[2.85824250356704, 14, 2.0939550228418873, 541, 534]"
188,2.284572373,"[1.511714278308537, 13, 1.1634184307828503, 518, 494]"
262,2.286621166,"[1.6499923430073498, 13, 1.3230967945764422, 491, 530]"
484,2.291313176,"[1.948643111317293, 10, 1.6617989188197186, 535, 489]"
246,2.295973715,"[1.6061698030673335, 15, 2.514016012423352, 489, 515]"
142,2.307642378,"[2.1557682002199976, 12, 2.2899121215487286, 495, 508]"
414,2.318879711,"[2.336012559846215, 12, 2.378560644359407, 487, 496]"
56,2.321426765,"[1.1006556137764052, 14, 1.2760419237362934, 479, 497]"
477,2.322319036,"[1.2935281660042337, 17, 1.786492074624503, 537, 514]"
120,2.325900653,"[1.8649915606028271, 12, 1.1927703562036294, 512, 455]"
423,2.327937352,"[2.314842825766557, 19, 1.708098991164102, 511, 544]"
69,2.33622527,"[2.466559351275129, 17, 1.6984769083867293, 548, 465]"
448,2.346129514,"[2.8784891222419096, 10, 2.609321650750538, 539, 528]"
442,2.359759307,"[1.4773340034328823, 17, 1.5646259795359936, 485, 525]"
156,2.365643945,"[2.4341644270560625, 16, 2.2293472448662413, 537, 467]"
44,2.3682434,"[2.013606285155453, 16, 1.9842442215175728, 459, 521]"
146,2.37318488,"[2.0548999152834213, 19, 1.2743963615619516, 450, 499]"
248,2.375255294,"[1.5139271960879843, 18, 1.990237495234211, 507, 541]"
61,2.376722783,"[2.670267885270908, 10, 2.5284892636585874, 500, 532]"
311,2.382922789,"[2.0123597600299425, 19, 2.0758113347143325, 483, 515]"
342,2.396670843,"[2.4816047969746804, 17, 2.076114728860256, 487, 459]"
32,2.400421764,"[2.8062339597140458, 15, 1.7060549058609764, 480, 520]"
229,2.402363428,"[1.0751797486014385, 18, 1.6035980680913688, 514, 491]"
91,2.404345266,"[1.7054303258090409, 17, 1.2875366551211134, 502, 527]"
279,2.412883051,"[1.8777763162236794, 14, 1.7952735783027367, 472, 505]"
80,2.416978704,"[2.558315657693651, 16, 1.6387955206048068, 548, 511]"
114,2.420971527,"[1.3848633886416306, 20, 2.3475754245901244, 486, 465]"
268,2.423329762,"[2.185259306164185, 14, 1.1251589109044404, 539, 484]"
14,2.437356376,"[2.4231532490368375, 11, 1.7286510605459808, 458, 547]"
486,2.444889879,"[1.5660876302724644, 11, 2.8491797497665856, 510, 541]"
319,2.448298829,"[1.0781221842683033, 18, 1.214543014032471, 516, 515]"
261,2.453615298,"[1.3327121753862479, 14, 1.236496957684468, 456, 492]"
243,2.466588938,"[1.948025383756141, 14, 2.863185432661631, 484, 466]"
147,2.47474395,"[1.6434676937691108, 19, 1.4434987501186551, 536, 539]"
331,2.482306249,"[1.9372396469505755, 10, 1.1607804900197594, 475, 482]"
417,2.483765252,"[2.0077933389678986, 10, 2.2239730487246376, 487, 543]"
167,2.492732887,"[2.5659420473884285, 19, 1.0341662400316367, 452, 532]"
267,2.496712373,"[1.530546316771889, 19, 2.9342255637231993, 531, 495]"
1,2.511206497,"[2.7720659293205143, 18, 1.9702500207068894, 521, 517]"
375,2.515513167,"[1.483293711987789, 14, 1.1039246695633602, 521, 520]"
329,2.518764907,"[2.372825334118922, 16, 2.0906485752109387, 539, 489]"
197,2.519945284,"[1.5083207458117354, 20, 2.861392530372128, 461, 502]"
92,2.522660767,"[2.3311477183798974, 20, 2.5545052713297887, 530, 513]"
360,2.52864141,"[2.20704847634686, 17, 1.3337802414536877, 476, 499]"
3,2.534214129,"[2.2772115005421862, 19, 1.6612319250615388, 541, 492]"
