error,learn_rate,num_hidden_nodes,weight_range,beta,c
2.141803158,2.561378215,13,1.825639193,451,488
2.145136449,2.011869736,14,1.808191622,499,460
2.167963789,2.850461856,10,1.978168449,478,456
2.176467966,2.091342251,11,2.15577529,489,466
2.176916996,2.608844792,12,1.674046375,481,458
2.179430145,2.42087145,14,2.087549889,477,495
2.179458912,2.519194582,11,1.867618787,500,494
2.182234224,2.319526464,13,2.379017774,471,482
2.187761247,2.332750682,14,1.61229937,499,457
2.188918182,2.090598433,12,2.307978276,452,482
2.192267267,2.675279476,14,1.787017646,474,480
2.194801862,2.953677583,14,1.900980866,497,458
2.196585582,2.309204131,15,1.643682107,460,491
2.202484492,2.463294184,14,1.554823897,481,498
2.206702588,2.761830844,14,1.620544307,481,458
2.207784961,2.693192852,14,1.677683749,479,464
2.21052663,2.183721504,13,2.260056547,452,490
2.212364649,2.62828691,12,2.14429615,450,476
2.212406834,2.330857615,14,1.911262548,483,468
2.214094726,2.800644683,12,2.060691027,469,495
2.216215195,2.831459478,11,2.054648278,486,485
2.22023023,2.634161125,13,2.026096012,457,463
2.221691467,2.14367352,14,1.604111283,490,463
2.224613188,2.560898476,12,1.592800173,481,456
2.22623335,2.501560245,15,2.20862884,457,491
2.230022334,2.487317317,13,2.367084383,460,465
2.232040068,2.316004669,14,2.416228047,490,475
2.232424682,2.395182222,13,1.920568765,496,459
2.234745098,2.480136053,13,1.547521861,482,473
2.239126482,2.714819239,12,1.572633801,467,485
2.240244063,2.910000985,14,1.681255804,471,476
2.241207963,2.21795027,14,2.27189072,491,475
2.241707141,2.899224256,10,2.171842838,454,459
2.241780202,2.695670758,14,1.89024659,461,474
2.242974581,2.824668196,11,1.999738043,455,485
2.247306378,2.8062099,14,2.300873496,451,460
2.255259707,2.075468455,15,2.157716392,471,489
2.261132035,2.298639964,15,2.403780944,496,474
2.262014813,2.102846201,11,1.803498552,484,483
2.264342606,2.495876302,11,2.113916499,464,493
2.264553108,2.880246465,11,2.423553156,487,480
2.271019563,2.288334042,14,2.171786857,500,468
2.272835597,2.186410611,12,1.788451095,452,480
2.275969472,2.338322124,11,2.304981687,462,461
2.280691952,2.709127172,13,1.749820998,474,456
2.280697979,2.896746027,12,1.985033677,462,469
2.2832187,2.004558415,11,1.958020047,491,452
2.283594971,2.00618136,15,2.464171945,492,473
2.287683497,2.186074449,15,1.612332068,491,479
2.293076252,2.346007475,14,1.897132514,473,463
2.301225575,2.511515702,12,2.229991965,472,480
2.301738557,2.605895536,13,1.548516232,454,471
2.30217763,2.326720866,11,2.300358127,489,466
2.305534132,2.572608599,15,1.582012211,493,476
2.305791813,2.552144386,12,1.549306497,476,460
2.307906803,2.263617401,11,2.05218072,458,487
2.308351057,2.375050396,15,1.67350692,469,472
2.313325867,2.699440249,13,1.910022738,496,472
2.313484272,2.071179024,11,2.318976626,473,480
2.329999371,2.025595225,14,1.5573735,465,450
2.331622093,2.716635393,15,1.860600432,478,482
2.341712178,2.439726797,14,1.634015227,490,486
2.344235538,2.189974612,10,2.09926147,457,453
2.345097444,2.870977258,11,1.713907366,457,485
2.346411262,2.371027726,14,1.945673002,471,488
2.354856163,2.531776189,11,2.192684165,488,478
2.361273935,2.659214614,11,2.249150922,479,488
2.363934395,2.236625347,12,1.765055082,490,474
2.366320161,2.747945953,14,2.40144071,458,451
2.371462013,2.064283691,12,2.286979105,453,455
2.373504203,2.371755152,13,1.824477988,465,473
2.374295149,2.14719887,14,2.051779732,473,461
2.37675282,2.782315726,14,1.83658776,481,497
2.386030431,2.875121457,13,1.534361641,463,451
2.38641562,2.698384856,13,1.884507617,468,466
2.388583792,2.465483332,12,2.274565489,460,456
2.391944015,2.716145646,13,2.129806,459,466
2.39246395,2.953753789,12,1.991319714,489,485
2.393715923,2.013155572,11,2.188568065,453,463
2.394017645,2.98875977,11,1.516502974,498,463
2.395758684,2.343341358,14,1.631752124,477,489
2.396076228,2.84899241,12,2.260722677,461,481
2.401809666,2.22965256,14,2.296827772,483,467
2.406610121,2.285604855,15,2.351913898,486,465
2.415431462,2.606190732,13,2.065238183,457,494
2.420569094,2.727906473,14,2.120409893,462,472
2.42318297,2.030082948,14,2.492866706,467,453
2.424241676,2.427125201,11,2.43116314,457,468
2.424857257,2.101833872,12,1.963750982,470,455
2.436178122,2.258389124,14,2.466522754,460,490
2.441568142,2.413713488,13,1.658466979,493,476
2.44518934,2.935721428,12,1.678062082,485,456
2.446615065,2.960447138,13,1.679617085,460,489
2.449158411,2.094500691,14,2.499599077,480,494
2.452360943,2.059524665,12,1.80638929,471,455
2.453799514,2.666423708,11,1.953339047,463,493
2.455591891,2.657263561,13,2.429222539,463,465
2.458438635,2.437953167,11,2.390839504,474,458
2.471308358,2.901340636,13,2.057926204,455,466
2.473074099,2.003433263,14,2.499382027,461,476
2.478051095,2.18423743,14,1.676931632,453,455
2.484478051,2.215752935,11,1.716593928,489,497
2.487538894,2.047419928,12,1.523735731,452,460
2.489847327,2.937159174,11,2.304484673,480,484
2.49237328,2.796038809,11,2.477120423,465,469
2.492857355,2.450205278,11,2.046730807,455,496
2.494075158,2.338521734,13,1.874757387,474,476
2.495123766,2.421735628,12,2.323999799,478,482
2.495656223,2.271424142,12,2.400847148,468,493
2.504041717,2.085715932,13,2.040325534,490,479
2.505012909,2.066604305,11,2.301913453,484,457
2.513421351,2.965572546,13,2.312150414,458,498
2.51463082,2.900333646,15,1.887041062,474,487
2.514724379,2.160405083,13,2.260876806,456,452
2.518334972,2.937380054,15,2.103399126,465,459
2.523958024,2.371784534,11,2.454401235,451,486
2.526979339,2.890884345,14,2.132390511,494,488
2.528023556,2.134888087,12,1.921225432,454,495
2.528134521,2.473838422,15,2.249597515,473,496
2.528150101,2.032416775,11,1.827964642,463,480
2.530767429,2.639074996,10,2.417930059,461,496
2.532263804,2.169591987,12,1.535447486,493,455
2.53370981,2.491130921,12,1.727399538,469,485
2.537239537,2.027527859,13,1.745285745,482,454
2.539212708,2.333143022,10,1.924345361,492,457
2.540260182,2.300178956,12,2.130033925,487,481
2.54055888,2.774887985,12,2.310760401,477,492
2.544868447,2.780961409,11,1.926086802,478,476
2.548357892,2.33900044,11,1.956694851,466,461
2.548737385,2.767688158,13,1.633986336,488,469
2.55151486,2.568562266,11,1.682714482,468,485
2.553524243,2.151860508,13,1.651160208,455,465
2.553659488,2.502144451,14,1.656487102,452,482
2.554146098,2.026103486,11,1.874764675,467,476
2.557432603,2.515183359,13,2.234956297,485,491
2.55806176,2.767297241,13,2.223439778,477,455
2.570915393,2.164712932,14,1.85093643,493,466
2.577677355,2.971450941,12,1.854728234,491,477
2.581262613,2.790780593,13,2.28204073,483,484
2.581571312,2.410865947,14,2.462620667,469,494
2.587719269,2.9647014,14,2.062300063,464,492
2.589373959,2.7518937,10,2.367582876,466,461
2.589619018,2.257959024,11,2.494510686,471,470
2.602063969,2.833994579,14,2.002458199,453,471
2.608038516,2.458100168,15,2.437569315,480,489
2.611705851,2.194859916,11,2.232018885,488,484
2.620818911,2.547895098,10,1.750352319,487,465
2.621113649,2.58571416,13,1.657320002,493,490
2.623199097,2.041740934,12,1.770030074,497,493
2.627978701,2.082276523,10,2.382479604,461,478
2.628123767,2.223019566,12,1.729082994,473,456
