,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
174,0.641183623,"[2.262801052288649, 11, 1.964550128538384, 472, 529]"
320,0.718648935,"[2.6773107821437763, 12, 1.5672385776186064, 456, 482]"
172,0.770973534,"[1.9527363738944736, 12, 2.4111992445496284, 505, 503]"
112,0.834052096,"[2.2768553413395174, 13, 1.5137588790454313, 521, 473]"
371,0.897166173,"[2.4519542502788827, 17, 1.5065444374412191, 536, 473]"
201,0.958244454,"[1.6252859324645073, 13, 1.7126402033855466, 474, 542]"
411,0.963913004,"[2.8231885276718667, 10, 2.1852736982927903, 464, 467]"
316,0.974675743,"[1.9425925449978068, 14, 1.9956644943576596, 466, 462]"
138,1.028865065,"[2.858753425117579, 13, 1.8277809036329207, 523, 470]"
40,1.071138786,"[2.294346233781914, 13, 2.1515063151403604, 453, 465]"
363,1.07797307,"[2.5372922248252476, 16, 1.7738757282364177, 530, 506]"
374,1.096733711,"[1.7741832261721473, 11, 2.0781711532344707, 470, 467]"
288,1.099863085,"[1.1495801330858595, 15, 1.924702245274999, 505, 457]"
478,1.14197619,"[1.3806259700921175, 13, 2.191070253826296, 499, 465]"
25,1.159955844,"[2.737848238934956, 12, 2.406686258577074, 509, 521]"
480,1.160197033,"[1.9608966169427908, 11, 1.7404208531135468, 490, 526]"
419,1.175869427,"[2.619967061898318, 14, 1.4029605726076424, 521, 495]"
364,1.193899012,"[2.225127956038577, 15, 2.117020483193002, 453, 479]"
397,1.224504826,"[1.586682024551345, 12, 1.8480966921962714, 532, 526]"
383,1.227226548,"[2.49180054933983, 12, 1.698253317048899, 467, 480]"
342,1.22831368,"[2.4876548707012143, 18, 1.7781950442180379, 488, 528]"
465,1.252515662,"[1.8434026539025123, 17, 2.017676954135283, 471, 497]"
350,1.297277134,"[2.2689988135193975, 10, 1.490186198810116, 548, 530]"
70,1.319480343,"[2.131781183773481, 12, 1.725568348201393, 534, 546]"
249,1.325278507,"[1.9342974657525762, 12, 2.477307372792744, 520, 480]"
461,1.330905263,"[2.6461391827326475, 12, 1.686768444521407, 456, 453]"
449,1.330947071,"[2.360189522947448, 12, 1.3362420140002451, 544, 483]"
438,1.351038888,"[2.505984120041604, 16, 2.0828284078288597, 504, 479]"
263,1.352454349,"[2.5078598685793603, 16, 1.2705130648720278, 517, 545]"
422,1.367671987,"[2.8323433366686217, 14, 1.8589216965247846, 514, 545]"
415,1.419950999,"[2.6381272467507815, 11, 1.9891658222485564, 514, 506]"
453,1.420058531,"[2.093946563390181, 15, 2.6805664617787617, 478, 480]"
