,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
458,3.9758005,"[0.9945312738560077, 5, 2.739512548012979, 47.353508576208306]"
463,3.982363,"[0.6761362839753376, 3, 1.9451997394141478, 38.84503508493669]"
54,3.99908175,"[0.7379256002626599, 4, 1.3258109406594947, 33.321247432455515]"
301,4.00614425,"[0.9243170930405732, 5, 1.0176887020488192, 28.07655527622569]"
6,4.011488,"[0.8129031922094027, 5, 0.8335488686791626, 49.69924193491789]"
146,4.03320675,"[0.9262249725897737, 2, 2.0087793635148876, 11.801555843966192]"
850,4.03714425,"[0.7793774126703945, 3, 4.649990351633022, 43.29312839530649]"
859,4.0384255,"[0.5686006349230799, 5, 1.68222914055413, 20.890203468464914]"
796,4.04076925,"[0.7689438308643388, 3, 2.0938993116316134, 7.779505018502155]"
74,4.05001925,"[0.5168765684759596, 5, 2.226504853037195, 24.403803468314777]"
156,4.056863,"[0.43373743065109727, 4, 2.1264644933586534, 30.530097024941472]"
384,4.060113,"[0.9844268894214065, 4, 2.284823153736612, 9.65161558316843]"
582,4.0618005,"[0.28734502223098474, 4, 1.4731724137897255, 14.937099360596237]"
809,4.07108175,"[0.8933617471392181, 6, 3.6330332051378047, 43.511686427791204]"
756,4.07114425,"[0.8699968502866003, 6, 4.973087491676486, 1.6677236020753554]"
527,4.085238,"[0.5091781082636236, 4, 2.727810160836337, 2.2813270692079892]"
493,4.086363,"[0.8445622165415458, 3, 1.2910551614288162, 13.532486489317666]"
510,4.1030505,"[0.7634064648990758, 3, 1.6173323888990327, 11.733895746679737]"
700,4.11639425,"[0.7006037030686377, 6, 1.0161347748586378, 28.46414994155483]"
282,4.121738,"[0.754146537197923, 4, 2.0016679164079836, 46.37701909816406]"
907,4.15701925,"[0.6240933700071509, 4, 1.560832962023412, 29.635688654991615]"
332,4.16058175,"[0.8203709138457845, 3, 3.752148108773226, 11.827806604873766]"
388,4.1816755,"[0.7774126167397425, 5, 2.2222804628089134, 44.92275598247532]"
823,4.19283175,"[0.6782735273236602, 5, 2.125492800117465, 29.903441976521762]"
41,4.22095675,"[0.9256266835104239, 3, 2.753074672483329, 34.86193116426396]"
770,4.22495675,"[0.8582135985134649, 6, 2.299534304613778, 19.309954063804557]"
730,4.22864425,"[0.5536479853952817, 2, 2.0582607451242567, 43.80422132817037]"
997,4.2385505,"[0.23748244679566055, 6, 1.9495572480340746, 14.744349019259992]"
548,4.2620505,"[0.8995110570615161, 3, 1.6260777660020316, 43.08952688153461]"
765,4.275488,"[0.7956284333728035, 3, 1.4134110510898807, 4.1644632118095055]"
302,4.27795675,"[0.33947314959641284, 4, 1.4088922137310422, 25.002872202228275]"
224,4.28214425,"[0.8814340199116429, 5, 2.8315321098127932, 15.134302923417927]"
225,4.282363,"[0.4411255946805354, 4, 1.5388338693869623, 37.4394655169198]"
855,4.30195675,"[0.7186654719127823, 6, 1.5729823767062823, 25.698589071826905]"
891,4.303363,"[0.9696910240650415, 4, 2.4304008853328325, 2.295381796574814]"
786,4.3089255,"[0.20586472071732448, 4, 1.5024642378221662, 49.22546430113141]"
618,4.31789425,"[0.8132334040140241, 4, 2.0726663557594396, 0.6081964771151751]"
602,4.3195505,"[0.7267198730574214, 4, 1.4214713699413342, 12.87363859220604]"
489,4.3211755,"[0.5042033299873302, 3, 1.8290942949935851, 2.369244190501919]"
987,4.339863,"[0.797404116443724, 4, 4.129242779374364, 28.286579598899518]"
780,4.3568005,"[0.9476832791998434, 5, 2.243770590022266, 39.634019040142086]"
920,4.3711755,"[0.13538217211264864, 3, 1.5706649608947294, 10.132516946705774]"
691,4.38333175,"[0.7501646837292794, 3, 1.8204184010763638, 34.2326540666673]"
100,4.3980505,"[0.8944728609642102, 3, 1.3857794362711087, 30.53054596044073]"
451,4.3985505,"[0.14606130578310156, 4, 1.0396016862688764, 1.6557136271820154]"
495,4.407613,"[0.9131514202853596, 5, 2.53395257990503, 25.895564077894484]"
483,4.411113,"[0.9371059141643845, 6, 0.9445121457124492, 6.5711933618127345]"
650,4.4223005,"[0.4632858760700367, 4, 2.8824269279886234, 42.47000868626216]"
499,4.42595675,"[0.9797046438159306, 3, 2.0597463429197536, 17.380338587397993]"
909,4.45126925,"[0.8215731500425337, 5, 0.9636521943601166, 27.819792093287067]"
958,4.4524255,"[0.46469068157026233, 3, 1.7214077396504215, 13.712020827822071]"
423,4.4543005,"[0.5181213526701955, 3, 1.4448502643072714, 46.94715136701589]"
880,4.45820675,"[0.1954143603677906, 3, 1.0985281157689695, 28.63797403503774]"
164,4.458238,"[0.2090824251343311, 3, 0.884469571034002, 47.91508449713459]"
134,4.47039425,"[0.6402014511777089, 6, 3.329302692513562, 35.08592998752966]"
284,4.4740505,"[0.539981450662327, 4, 0.7893509150957034, 2.6675615162384765]"
707,4.48401925,"[0.6924546979174494, 5, 1.1010875005334004, 6.439559831925286]"
992,4.49245675,"[0.7455067756514935, 5, 1.402574770481642, 32.09701100771085]"
934,4.495863,"[0.8548969422394787, 5, 3.443246861151726, 31.802243494527293]"
763,4.50189425,"[0.26120015486220155, 4, 1.1891396151974005, 45.27890615973296]"
292,4.529238,"[0.12362504962359606, 3, 1.4091599947779656, 49.196924965201625]"
144,4.5338005,"[0.8272455195487437, 4, 0.9212333542486817, 3.8340971721399617]"
244,4.552488,"[0.34410518523932854, 4, 1.077718701233276, 5.599283564955761]"
