learn_rate,num_hidden_nodes,weight_range,beta,error
2,10,2.5,400,0.262054111
2,10,2,450,0.278783401
2,10,2.5,450,0.301614267
2.5,8,2,400,0.302025727
2.5,8,2,450,0.335575146
