,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
20,0.187602388,"[2.9730625775458295, 10, 2.6009104310402966, 266]"
49,0.192288289,"[2.6138586835562654, 10, 2.3823965639361164, 215]"
23,0.197145206,"[1.875311219981858, 12, 2.2242991693205365, 113]"
10,0.200424455,"[2.8144077474525595, 11, 2.4452603196723097, 383]"
43,0.206228752,"[2.39251533284001, 13, 1.9916205353048133, 83]"
48,0.207740171,"[2.349759581001179, 8, 2.37385396385215, 99]"
13,0.213947003,"[2.8547886754569194, 10, 2.2333261110783322, 118]"
5,0.236929783,"[2.7995848063848934, 8, 2.166129637847563, 461]"
27,0.243122288,"[2.785901421416659, 13, 2.317866772036181, 129]"
16,0.249396054,"[2.9452704390699305, 8, 2.8177744549833017, 166]"
1,0.25165397,"[1.5783691429491518, 11, 2.288618051236635, 384]"
44,0.251679943,"[2.5510442998252065, 9, 2.0174262417375592, 364]"
22,0.25222128,"[2.65687181449176, 9, 2.069276738870636, 129]"
17,0.25604758,"[1.9652354075744167, 11, 2.5484927787661587, 42]"
47,0.256967833,"[1.8229204226875941, 10, 2.326774555659767, 49]"
14,0.26005543,"[1.9627265684964073, 10, 2.0400555986374767, 319]"
4,0.261058179,"[2.9001345163142673, 14, 2.373893563425998, 205]"
38,0.265874266,"[2.554348023338287, 12, 2.066255539310966, 12]"
45,0.267353976,"[2.4505276251574872, 7, 2.2120964805185057, 368]"
0,0.272634821,"[2.663093356200637, 13, 1.8481378451123631, 91]"
40,0.274129404,"[2.227462015171537, 13, 2.4870181067182444, 408]"
18,0.274446202,"[2.073995603603457, 8, 2.3219965817215362, 14]"
25,0.28059248,"[2.6936045462959672, 10, 1.9152650203569637, 450]"
28,0.282359796,"[1.7821372093012027, 8, 2.668779806705718, 113]"
32,0.287388439,"[2.035559959109471, 15, 1.7903114902712916, 399]"
12,0.299634087,"[2.5987164524109874, 14, 2.49408105433148, 97]"
8,0.303350913,"[2.547099437506914, 7, 2.0778141427136134, 369]"
21,0.30355528,"[1.8277882535725256, 8, 2.605505963058336, 303]"
9,0.306995319,"[2.739624529108375, 12, 1.9570764374710539, 343]"
41,0.321182903,"[1.8822255078685104, 8, 2.2263955216336577, 247]"
33,0.327494911,"[1.9972316360726974, 14, 2.556053644256301, 22]"
2,0.327549742,"[1.6518613969854898, 13, 2.493408205624679, 467]"
15,0.364834549,"[1.5329492262711257, 14, 1.7568007470575573, 223]"
37,0.376053305,"[2.2307910054434243, 9, 2.991400000254967, 223]"
26,0.385277115,"[1.5378221092046462, 14, 1.7527341552909987, 438]"
7,0.399712161,"[1.8363074669015509, 12, 2.7735961147045294, 220]"
30,0.441891574,"[2.2159797342901424, 13, 2.8790965738926566, 61]"
3,0.481411073,"[2.6817384848065178, 9, 1.722526378482409, 125]"
39,0.488538726,"[1.9034112410101554, 14, 1.5141269644566164, 235]"
36,0.494155925,"[2.946539162482373, 13, 2.8578704696353645, 497]"
34,0.501037114,"[2.1018126160860233, 12, 2.9429586805376404, 346]"
31,0.515679773,"[1.623785586055305, 11, 1.6034388175925303, 189]"
46,0.52742166,"[2.118483493529372, 13, 2.934240320962511, 490]"
35,0.530369417,"[1.9704341985518081, 15, 1.5774189149179485, 209]"
6,0.531794681,"[2.762410299404499, 15, 2.732276241526441, 398]"
24,0.543455897,"[1.870897326415994, 13, 2.8149930960068374, 9]"
19,0.543585394,"[2.4825146830269675, 7, 1.7170190164905148, 368]"
11,0.549660342,"[2.7802576521169455, 8, 1.7299928571652354, 494]"
42,0.616151792,"[1.9732400230062637, 14, 2.9717000744240822, 181]"
29,0.619142269,"[2.6702055130461595, 6, 1.7505387589805146, 21]"
