,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
21,0.135125656,"[1.6818751129186373, 10, 2.185414894186253, 308]"
5,0.135298625,"[2.801695882801515, 7, 2.3809564045214406, 33]"
11,0.137668703,"[2.3352589891725577, 10, 2.188712692566105, 403]"
40,0.141254406,"[2.356854780211002, 12, 2.064810966535121, 168]"
27,0.143767609,"[1.7550894023078996, 11, 2.0595232598830324, 71]"
42,0.145840734,"[2.1722698035270236, 15, 2.1833605462303542, 278]"
13,0.153771672,"[2.117460833488411, 10, 2.326448455599424, 197]"
4,0.156274719,"[2.7819176668893606, 8, 2.58470004438725, 1]"
25,0.166542609,"[1.9323382586832896, 10, 2.108346929787275, 473]"
39,0.174808625,"[2.9962615782545345, 9, 2.147826564597947, 228]"
46,0.175471594,"[1.692483132027515, 6, 2.5407696954360595, 203]"
35,0.176911125,"[2.791076199405275, 11, 2.5123108315623712, 24]"
45,0.177456438,"[2.8525475743273776, 7, 2.6600683018069784, 308]"
2,0.184317375,"[2.318904229453416, 11, 2.421640850077744, 256]"
14,0.1845155,"[2.378338163391323, 11, 2.0426106352514113, 12]"
17,0.185529641,"[2.6153515922455584, 14, 2.296905647204909, 118]"
19,0.191618547,"[1.7289269354983197, 13, 2.3096979437590957, 14]"
29,0.191681672,"[2.572226660247307, 14, 2.4332296911454145, 195]"
37,0.192392063,"[1.9965159666046897, 9, 2.72862136209252, 134]"
18,0.193003547,"[2.2094305417371887, 6, 2.6054855549001097, 236]"
49,0.196371359,"[2.679753947330394, 13, 2.0204120106665258, 475]"
31,0.198098859,"[2.9520107713066213, 13, 1.9002756750894068, 216]"
28,0.203353625,"[1.6591222784740907, 11, 1.9037848830445145, 433]"
7,0.2077905,"[2.6905687146367545, 6, 2.4231979610411605, 294]"
41,0.216535969,"[2.9762298123859185, 14, 2.4511094268903575, 259]"
0,0.217724953,"[1.7679450671949486, 9, 2.572178927902762, 417]"
33,0.222918703,"[2.9778601717582465, 10, 2.879939501790512, 133]"
15,0.223923156,"[2.57919566141552, 10, 2.7833635436683033, 162]"
38,0.240896438,"[2.393276916755947, 14, 1.773168688371408, 155]"
47,0.253526281,"[1.5905952869853703, 9, 2.0505848015264703, 277]"
24,0.259512219,"[2.323456149595609, 15, 1.6021425909876073, 125]"
48,0.265308,"[2.5244348700085752, 12, 2.7049850477811734, 382]"
20,0.273174484,"[2.718322519228116, 9, 1.807244170683477, 446]"
8,0.275658781,"[2.9168038714535705, 12, 1.71280770302593, 436]"
6,0.285619016,"[2.8374500788616634, 8, 1.7994604601179314, 420]"
22,0.288185734,"[2.0909697141299377, 12, 1.6704185671854794, 23]"
30,0.290794328,"[1.7705287247124024, 11, 2.6211084060946086, 442]"
43,0.312846828,"[2.1525313647746716, 12, 2.754343262601827, 313]"
1,0.314818391,"[2.4066849520791074, 9, 2.92253271887758, 436]"
10,0.343024875,"[2.8911469243125696, 9, 1.7014508957213301, 195]"
36,0.345090969,"[2.3864743198203024, 8, 1.7997890734112905, 433]"
34,0.351966516,"[2.7503125392735113, 12, 2.8159761169576925, 13]"
26,0.372342688,"[1.643248633215343, 14, 2.5472866198345074, 85]"
32,0.375388781,"[2.882355489650659, 8, 1.6711509650596446, 442]"
16,0.408727297,"[2.096480310726393, 14, 2.7578191599302535, 259]"
44,0.411721594,"[1.6710597320627443, 11, 1.5246572895460575, 337]"
9,0.426491047,"[2.326309305808409, 11, 2.8741704936164907, 223]"
3,0.506124094,"[2.407286783181633, 6, 1.6190042677167507, 161]"
23,0.510435734,"[2.202360838963057, 14, 2.8555448746620935, 153]"
12,0.512896984,"[1.7707074029977667, 11, 2.9776334960306827, 443]"
