,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
11,0.166758644,"[2.3899726744836776, 12, 2.219024433715311, 387]"
40,0.173362331,"[2.3624140875861963, 11, 2.3543655830937347, 481]"
9,0.178402563,"[2.280985948526094, 11, 2.458486337491607, 309]"
26,0.180261012,"[2.2361743589116267, 10, 2.2598535658843297, 109]"
8,0.181913722,"[2.4882734151748025, 10, 2.47146246472864, 462]"
6,0.18563275,"[2.2032442050821706, 14, 2.1581132159930054, 438]"
10,0.188197797,"[2.1770863528131636, 13, 2.3919382469800783, 350]"
37,0.206564856,"[2.1330148147742545, 13, 2.4448825000892103, 109]"
25,0.208496421,"[2.2338215367034437, 11, 2.105408176999036, 345]"
23,0.209842584,"[2.123162735256075, 14, 2.2248345780570933, 141]"
45,0.213784865,"[2.053973704239277, 13, 2.0236965639546196, 362]"
36,0.214759441,"[2.438270951199321, 11, 2.4149114746710834, 487]"
30,0.215130856,"[2.415925079564663, 13, 2.1476886054461204, 167]"
0,0.215981839,"[2.0640405731832088, 14, 2.3043543042773065, 180]"
4,0.21711671,"[2.1697408558227873, 12, 2.1175119210460123, 306]"
3,0.217372939,"[2.16743066258694, 15, 2.0825456762274936, 384]"
15,0.218281875,"[2.3969911523078227, 15, 2.02967708424272, 296]"
17,0.219497895,"[2.24722872189654, 15, 2.087589285780082, 487]"
39,0.220329859,"[2.317028894825017, 11, 2.0422204901877015, 302]"
29,0.221956322,"[2.4456280523969998, 13, 2.101356183698343, 299]"
24,0.229039078,"[2.306900337340208, 13, 2.033527625395532, 135]"
42,0.231961719,"[2.159995983371654, 13, 2.3009919668539123, 157]"
14,0.23271546,"[2.1826869564580167, 11, 2.0024229358362695, 279]"
7,0.234697356,"[2.2759796029816926, 14, 2.3939515272697967, 273]"
27,0.234949323,"[2.4327644704582037, 15, 2.1909344470624825, 158]"
19,0.23573034,"[2.0876843370598404, 15, 2.2530835619411547, 216]"
49,0.236343831,"[2.0383442594979115, 15, 2.190847098323481, 91]"
16,0.240234916,"[2.117439377067832, 15, 2.122861641164013, 270]"
18,0.242875034,"[2.360197501548381, 13, 2.4619080695305433, 139]"
31,0.24353913,"[2.1008816302964632, 12, 2.3302839277478515, 310]"
5,0.244181087,"[2.306293593104046, 12, 2.055923964685566, 477]"
21,0.245834394,"[2.170324201192412, 13, 2.27526707184174, 274]"
34,0.248873575,"[2.0122361100775095, 11, 2.234531891260284, 197]"
44,0.24909517,"[2.46214730750205, 12, 2.498180786980588, 433]"
41,0.249182138,"[2.1062058135230486, 14, 2.2518550049212434, 442]"
38,0.250059502,"[2.480126637866393, 11, 2.2040187139209895, 269]"
12,0.250703364,"[2.376226027086617, 13, 2.4197445618259232, 168]"
48,0.251352834,"[2.186342140008737, 11, 2.1427479230098907, 351]"
28,0.256234382,"[2.0529022067522877, 15, 2.216726445533267, 284]"
32,0.266224508,"[2.006598378544481, 13, 2.4526342424684318, 437]"
47,0.270736534,"[2.2411952171879665, 11, 2.0217227145000387, 499]"
1,0.270765044,"[2.05567260490807, 15, 2.0028496112577123, 415]"
13,0.27199502,"[2.0967593389030843, 12, 2.313063969127667, 410]"
33,0.303879177,"[2.1972912590955596, 13, 2.4937813961755504, 112]"
43,0.311548352,"[2.184467770472584, 15, 2.4777516861893005, 320]"
20,0.311568963,"[2.0027529195651206, 13, 2.44452868098712, 332]"
35,0.313831808,"[2.442550238668228, 14, 2.410561457199461, 232]"
2,0.333588664,"[2.2916511218836697, 15, 2.3094479016341265, 447]"
46,0.337117961,"[2.4569016739529914, 14, 2.493071018950365, 396]"
22,0.443303811,"[2.058771633410922, 15, 2.4941932321666176, 161]"
