,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
3,0.17226022,"[2.3604446825515564, 12, 2.306196239252201, 402]"
17,0.173967365,"[2.382872508316662, 14, 2.118625329068741, 242]"
43,0.187372619,"[2.0745597674280187, 10, 2.3014894386888987, 458]"
15,0.188674873,"[2.4826294057085754, 10, 2.3564355721608754, 304]"
26,0.192969342,"[2.3245133637455977, 10, 2.379751422904875, 312]"
45,0.193347025,"[2.0459344260312595, 10, 2.4701942362695837, 157]"
30,0.193993079,"[2.2756590429068484, 13, 2.149825836317171, 423]"
9,0.196236589,"[2.3385944692505913, 13, 2.24311833299857, 352]"
39,0.197906758,"[2.4670900587622486, 14, 2.1163589730108177, 156]"
18,0.200695666,"[2.0152409474971638, 14, 2.1710029334525665, 273]"
48,0.20249261,"[2.1010842704943653, 13, 2.2683070583821046, 337]"
2,0.204678847,"[2.4188755822286283, 12, 2.035378900203745, 293]"
44,0.205444021,"[2.352770780060362, 10, 2.341861167754681, 166]"
23,0.206400234,"[2.4170417965963322, 14, 2.097449683386403, 290]"
35,0.20762443,"[2.425697141319254, 12, 2.421607672561126, 116]"
41,0.214910598,"[2.005011865516924, 14, 2.1949450319394046, 337]"
0,0.214976013,"[2.3391569021519416, 11, 2.109819337026346, 132]"
28,0.21593746,"[2.206560028386317, 12, 2.2480984794250274, 81]"
6,0.216317444,"[2.305777971880462, 13, 2.1796915400570707, 94]"
16,0.217493318,"[2.0373758965622533, 11, 2.3918395456149573, 355]"
29,0.222366146,"[2.315361883316911, 12, 2.248773541436105, 413]"
7,0.223338306,"[2.3599972177482735, 14, 2.073236721021186, 183]"
11,0.225248098,"[2.124049297406022, 11, 2.367849536237297, 226]"
40,0.225471589,"[2.0829586356958254, 10, 2.395343565879645, 168]"
32,0.228155422,"[2.291425775314646, 11, 2.190227754919109, 247]"
19,0.231918752,"[2.338907435931675, 12, 2.4183219917090093, 461]"
22,0.235106515,"[2.1235864395851, 14, 2.2485099932044434, 465]"
13,0.235356638,"[2.2484706528652216, 12, 2.244172183960154, 143]"
14,0.23631115,"[2.0190583291337814, 12, 2.0738211137748293, 348]"
5,0.23655939,"[2.1948441623724495, 12, 2.247945985457595, 451]"
1,0.238483004,"[2.142673766057328, 12, 2.399872315211984, 224]"
24,0.242913138,"[2.161143673104341, 11, 2.0506882286876174, 291]"
49,0.246975393,"[2.428712909743759, 11, 2.184414851752365, 324]"
12,0.247764472,"[2.181293132154592, 10, 2.4662920952618785, 353]"
21,0.252159197,"[2.067833916084177, 13, 2.0132723843497717, 434]"
46,0.253636427,"[2.123681739703922, 14, 2.0818495702440565, 421]"
20,0.254202011,"[2.118865788807945, 11, 2.3740849365342287, 461]"
37,0.254356581,"[2.0131546351278145, 14, 2.4620782064720426, 292]"
38,0.256374581,"[2.104363363009065, 14, 2.4150186224643777, 244]"
47,0.257575939,"[2.0558052394641853, 14, 2.3440690410963025, 316]"
31,0.257660486,"[2.144257070498864, 11, 2.4001871966055974, 150]"
4,0.258005299,"[2.372509769542778, 13, 2.4597416266583894, 406]"
27,0.266975203,"[2.4646424549624655, 13, 2.4927304089244458, 353]"
33,0.271951318,"[2.363775642517283, 14, 2.1713936984344864, 375]"
34,0.278119552,"[2.1520481651494783, 10, 2.0208679900604287, 223]"
10,0.285699945,"[2.33763148100023, 14, 2.050824883908616, 263]"
25,0.287266932,"[2.26032171898628, 13, 2.490353003198327, 269]"
8,0.307086871,"[2.1376815052559532, 15, 2.382081938347774, 441]"
42,0.335692363,"[2.4049679654519007, 14, 2.496119724322231, 332]"
36,0.362385774,"[2.1284935850219724, 13, 2.4881181564053962, 334]"
