,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
61,0.006310938,"[1.2932988500664417, 13, 2.977246819413881, 476]"
57,0.00774375,"[1.488241845985126, 12, 3.00138821598318, 487]"
93,0.007801563,"[1.354757613508661, 11, 2.845578398029122, 414]"
34,0.0084125,"[0.7685336463152603, 13, 2.444899948414779, 459]"
6,0.00863125,"[0.7585451451940433, 10, 2.4098958844932654, 470]"
51,0.009942188,"[1.4326707335946525, 14, 2.8651194966657436, 470]"
29,0.010375,"[0.8113663527730712, 13, 2.1722577965143572, 419]"
83,0.010915625,"[0.5955994710289447, 15, 2.295843213908978, 478]"
71,0.011028125,"[0.600615406901733, 12, 2.1195819159897766, 490]"
94,0.011173438,"[0.5875286940394283, 12, 2.5749414186776054, 457]"
40,0.011421875,"[0.7097206505361653, 13, 2.432825067916228, 440]"
2,0.011610937,"[1.22008011729462, 14, 2.9795823781395985, 440]"
42,0.01175625,"[0.7277352121966778, 12, 2.4067111947211357, 477]"
52,0.012026563,"[0.8041500656187637, 13, 2.5574570536031316, 495]"
39,0.012040625,"[1.025299819195543, 11, 2.7696919889200524, 436]"
59,0.01316875,"[1.0008935487741755, 14, 2.965276621781345, 480]"
1,0.013171875,"[1.3711255310324066, 11, 2.8374117616439993, 457]"
54,0.013223437,"[1.1370818538027927, 11, 2.8577430255549077, 414]"
89,0.013259375,"[1.1189363545054634, 13, 2.950391573905139, 472]"
85,0.013284375,"[0.7458363034745676, 11, 2.467078936883066, 428]"
23,0.013935937,"[1.3964459514336942, 11, 3.0406878994603, 419]"
31,0.013964063,"[1.0710693712320485, 15, 2.8394059632387236, 441]"
5,0.013982812,"[0.9415722626548283, 13, 2.469958973928905, 427]"
25,0.014529688,"[0.8643205531812141, 11, 2.716829023731612, 463]"
28,0.0149,"[0.7500025102746366, 13, 2.8330849658346446, 476]"
36,0.015085937,"[0.9046381250216844, 13, 2.3073772859789488, 413]"
74,0.015171875,"[0.6092092349141899, 15, 2.3343925230270606, 488]"
81,0.015928125,"[0.6522116429577471, 15, 2.348299683836112, 466]"
41,0.016060937,"[1.0294240433802728, 14, 2.3544152179502493, 417]"
