,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
28,0.005167897,"[1.3786706793564982, 14, 3.2220972348467725, 161]"
70,0.00621548,"[1.335079046845009, 12, 3.4383181122800797, 191]"
98,0.006863082,"[1.2042432208487228, 12, 2.8676030328448094, 185]"
99,0.007521273,"[1.2409975113417944, 12, 3.1209568555682763, 181]"
33,0.007831923,"[1.2059731029197418, 9, 2.9765911916019325, 219]"
40,0.008509171,"[1.2326138857802094, 9, 2.9720867374492057, 275]"
76,0.009216544,"[1.4052287730938469, 10, 2.9162147814148303, 163]"
25,0.009389353,"[1.113620579051063, 10, 3.385435201455331, 237]"
54,0.010081098,"[0.8971283150877966, 13, 2.609824859142827, 259]"
23,0.010468731,"[1.2871489118768733, 13, 3.1008584388982445, 214]"
46,0.010748609,"[1.095003765539492, 10, 2.539802647512774, 181]"
41,0.010772781,"[1.4385317007483331, 12, 2.869727839480323, 203]"
92,0.011101395,"[1.1252334889568711, 11, 2.5971013613401155, 294]"
94,0.011642667,"[1.4853840173174255, 12, 3.269751231004003, 279]"
50,0.011656588,"[0.9531251808999435, 11, 2.532526396106343, 200]"
38,0.011851472,"[1.264622225251097, 13, 3.0074526918080555, 205]"
66,0.0119287,"[0.9910535091432402, 14, 2.6661093298853453, 295]"
9,0.011988593,"[1.3553569517234343, 12, 2.659099402129102, 291]"
59,0.012099073,"[1.3528359144395234, 12, 2.9950561120451997, 246]"
64,0.012116543,"[1.3979910042825763, 13, 2.7060143698117036, 199]"
16,0.012735274,"[1.1264858679577232, 13, 3.3840160683686027, 245]"
21,0.013043184,"[0.9358634812858987, 12, 2.5686195126565465, 153]"
58,0.013395337,"[1.085336492892422, 14, 2.7930036918535093, 237]"
60,0.013660291,"[1.0085812272134127, 10, 2.5238879985878353, 260]"
78,0.014095522,"[1.4445813930653029, 12, 2.9302846273280947, 169]"
48,0.014898967,"[1.3209191516009238, 12, 3.48094793736138, 213]"
24,0.015237564,"[1.4451013036906144, 10, 3.4182176023166835, 164]"
4,0.015510751,"[1.037638335241755, 12, 2.755595135127653, 243]"
89,0.015638062,"[0.9120349941073844, 11, 2.7703707167514056, 235]"
2,0.015642102,"[1.056195482676283, 14, 2.7332343898553617, 233]"
19,0.016430893,"[0.9860951425416702, 10, 2.6565644659147005, 170]"
36,0.016780674,"[1.0312941687172823, 10, 3.3753698973016544, 209]"
90,0.016857517,"[1.1920142118887245, 13, 2.5163037682763725, 206]"
11,0.017096616,"[1.0542125822066057, 12, 2.5720623779912346, 172]"
71,0.017966164,"[1.4741013584955263, 10, 3.3917277959356515, 175]"
69,0.018431069,"[1.400328374783809, 13, 2.7553209627317865, 221]"
80,0.019301121,"[0.8288949922444893, 13, 2.7302971374301284, 172]"
1,0.019435254,"[1.2616960638535786, 9, 3.167089484949229, 263]"
57,0.019718193,"[0.960557271386722, 10, 3.158370768350359, 192]"
79,0.02000446,"[1.379776990095074, 10, 2.532405882978472, 209]"
83,0.020191595,"[0.7632308654892617, 13, 2.5902226680925904, 240]"
55,0.020205388,"[1.2025305940990774, 10, 2.650005248928889, 201]"
53,0.021670529,"[0.8436031733476959, 10, 2.6828567876103833, 207]"
32,0.02202648,"[1.004115948804167, 9, 2.8520473762107232, 230]"
17,0.02299017,"[0.9690662268587656, 9, 2.7302251346467044, 201]"
