,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
22,0.141366346,"[2.922768057348069, 8, 2.430221840265145, 137, 428]"
5,0.144628246,"[1.7089744091064119, 14, 1.9441773585525084, 241, 408]"
1,0.14548922,"[1.8302759854871726, 8, 2.4558961255300487, 66, 356]"
3,0.148216815,"[1.849473718561706, 8, 2.272774835699325, 61, 405]"
27,0.148884972,"[2.066544422066204, 9, 2.318019146607837, 155, 458]"
16,0.15832675,"[2.918570138377071, 9, 2.2553323582077054, 392, 401]"
18,0.163013156,"[2.9625996280434257, 9, 2.210666612822412, 257, 372]"
26,0.169928863,"[1.5270011115373348, 8, 2.493436906688369, 427, 308]"
8,0.170810409,"[1.9746847922658115, 8, 2.307909033008343, 381, 487]"
7,0.173822711,"[2.1146535884833986, 6, 2.4880237060242543, 487, 329]"
17,0.174041427,"[1.7285770901586406, 14, 2.1668337725511493, 394, 312]"
37,0.176539407,"[2.8467383719269184, 7, 2.454513595782604, 375, 471]"
23,0.182383807,"[2.27277302786081, 14, 1.8373101513295216, 271, 482]"
40,0.184827088,"[1.677633402973682, 7, 2.2697693511991917, 364, 309]"
28,0.189425175,"[2.7280407154117072, 11, 2.4646745976171434, 378, 407]"
13,0.193497782,"[2.785172320804645, 9, 2.1066711974328842, 475, 302]"
45,0.197010212,"[1.9860646709827772, 9, 2.675070982715703, 365, 475]"
32,0.199493559,"[2.753230850227011, 12, 2.508419271725763, 297, 360]"
15,0.20207534,"[2.339357585460785, 9, 2.7892011857836927, 198, 331]"
41,0.207043354,"[2.882497677653658, 8, 2.994929982101013, 466, 310]"
4,0.215011619,"[2.0555033361253168, 11, 1.8648055900698655, 270, 355]"
29,0.229797419,"[2.778886593454674, 13, 2.475095420645683, 183, 428]"
14,0.232321616,"[2.355090339667756, 15, 2.429274530103564, 397, 388]"
43,0.239763393,"[2.9536319687591153, 14, 2.3154449213682775, 390, 444]"
48,0.249566027,"[2.0829451374016528, 7, 2.9477054574449886, 125, 476]"
12,0.250581809,"[1.671011322888607, 14, 1.7035396570474033, 349, 331]"
39,0.251742402,"[2.1051964150283804, 10, 1.801740937773244, 403, 497]"
46,0.255278051,"[1.72961238142289, 15, 1.6711311048222148, 68, 420]"
34,0.262227628,"[1.9798870693589512, 7, 1.9756030380647918, 187, 476]"
9,0.264072247,"[1.6456026568187627, 6, 2.034786714787149, 267, 332]"
49,0.30242744,"[1.5962895992782933, 13, 2.5116125231965514, 20, 388]"
0,0.308177145,"[2.3590666713936734, 15, 1.6669789795477243, 245, 379]"
2,0.308199806,"[2.8042246768884005, 7, 1.8261079511859517, 489, 477]"
35,0.327554779,"[2.154945685372049, 9, 1.7022612093662102, 288, 434]"
21,0.338471096,"[2.8837389415615458, 7, 1.8449675181335814, 150, 495]"
44,0.339112701,"[2.4874905992849543, 13, 2.693197409249964, 425, 417]"
38,0.342394141,"[2.936249453182466, 8, 1.7932835066871529, 25, 474]"
33,0.34513387,"[1.8658958203733633, 11, 2.8374762448053823, 205, 405]"
10,0.349606743,"[1.7181216986701238, 12, 1.573495372711426, 371, 438]"
24,0.353738356,"[1.5772046374575301, 9, 1.708651134104603, 25, 312]"
19,0.36292926,"[2.39007028909538, 12, 2.86572799468051, 431, 414]"
30,0.387387793,"[2.71024725634473, 13, 1.5655159451531984, 215, 431]"
6,0.412458981,"[1.7971142518182106, 10, 1.5666096008446242, 171, 413]"
20,0.424926248,"[2.2809832813080195, 14, 2.7807987234052054, 470, 432]"
42,0.441980072,"[1.555534411371771, 11, 2.7344631285393493, 358, 488]"
36,0.444640213,"[2.0976035776178286, 11, 2.9244373340473833, 471, 335]"
25,0.48437011,"[2.8352289672911803, 7, 1.5632468236869914, 261, 478]"
31,0.545095172,"[1.5033124683581445, 14, 2.7477348464993376, 477, 352]"
11,0.567435235,"[2.999920716350264, 14, 2.858928647338039, 199, 397]"
47,0.667011083,"[2.730295494760908, 15, 2.906459834516212, 148, 397]"
