,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
81,0.005173,"[1.383792796550219, 10, 3.1009020494216246, 175]"
67,0.008385555,"[1.1792098869311538, 9, 3.173145397669927, 152]"
56,0.008500828,"[1.1186706412337188, 11, 3.131832573206167, 152]"
90,0.008713833,"[1.3331088606862107, 10, 3.07112284314963, 188]"
18,0.009322461,"[1.1450343775031329, 11, 3.1587573635502126, 153]"
7,0.010134399,"[1.1606778805752718, 13, 3.0789051224622064, 191]"
95,0.010959174,"[1.269136886853306, 10, 3.3970323397455795, 197]"
83,0.011050125,"[1.470142941532997, 10, 3.2161720301808905, 150]"
79,0.011069961,"[1.43520475607463, 14, 3.101304330997233, 187]"
37,0.011124319,"[1.0480883790629156, 12, 3.0324388358844563, 196]"
30,0.011161034,"[1.4157557923869495, 13, 3.265393874458872, 150]"
34,0.011293919,"[1.2087777288198522, 11, 3.3075917992228954, 197]"
45,0.012279016,"[1.41669083063945, 13, 3.0423476122835895, 196]"
33,0.012330297,"[1.426909412755598, 11, 3.3712439069170568, 184]"
23,0.012472222,"[1.2147390233443318, 11, 3.0629676061165356, 180]"
12,0.012619315,"[1.1024699449764643, 10, 3.198508256438799, 173]"
2,0.013277496,"[1.306962544044703, 9, 3.333461682411754, 192]"
70,0.013434062,"[1.3597175042361875, 10, 3.389922291246077, 176]"
10,0.013480557,"[1.4987598465830194, 12, 3.128784036335927, 197]"
25,0.013754368,"[1.3738744597326962, 11, 3.1791641022643704, 162]"
14,0.013806403,"[1.1926405140555174, 10, 3.380490346021442, 182]"
29,0.013846197,"[1.3285578973386072, 11, 3.3797757453717003, 182]"
93,0.014039404,"[1.4199509491674587, 11, 3.3761812860926987, 163]"
28,0.014965194,"[1.2124120571262595, 13, 3.170713652703821, 185]"
47,0.015590372,"[1.3330582871798868, 9, 3.3782871022256287, 180]"
43,0.016075085,"[1.4051281819436627, 11, 3.3934197008397127, 156]"
69,0.016100212,"[1.3899491134675046, 12, 3.1937277690705947, 172]"
46,0.016229439,"[1.1788718995190257, 14, 3.0674377251937237, 168]"
61,0.016337506,"[1.3336362169101705, 13, 3.244661675675331, 187]"
76,0.016814531,"[1.0975165267491522, 9, 3.1872868201327247, 154]"
80,0.016833256,"[1.479064912895193, 14, 3.424286580929652, 159]"
17,0.016889164,"[1.4419668936309178, 10, 3.254875452008671, 169]"
73,0.017259487,"[1.4280701818780288, 14, 3.4799058887494194, 187]"
16,0.017276425,"[1.4714366898396563, 14, 3.367911361101361, 176]"
8,0.017575245,"[1.3979583057144296, 11, 3.3686410986645834, 186]"
36,0.017740658,"[1.2022352847273055, 9, 3.298461109894369, 192]"
96,0.018172184,"[1.1350763282412504, 11, 3.094393789557519, 189]"
48,0.01849288,"[1.0975771232190032, 12, 3.2216718473505006, 198]"
26,0.01857422,"[1.1380403113684134, 10, 3.059444765452249, 164]"
1,0.018621523,"[1.244937864934373, 11, 3.3804204840650374, 164]"
38,0.018646985,"[1.1995820338732694, 11, 3.406726614346764, 197]"
57,0.018811324,"[1.1567945479143713, 14, 3.0972704239839755, 181]"
59,0.019355551,"[1.2681084513833603, 13, 3.4506799110464814, 166]"
89,0.019507201,"[1.0639241147370186, 11, 3.4067377664252927, 176]"
11,0.019663689,"[1.2262287664477767, 11, 3.2960452621470986, 160]"
