,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
72,0.008050153,"[1.0326426291329782, 12, 2.5001800524830546, 297]"
64,0.008090606,"[1.2666843692424785, 14, 2.8398855240154863, 230]"
79,0.008529938,"[0.942249597041408, 12, 2.516000105548109, 211]"
21,0.009476002,"[1.2255533531855884, 10, 2.962138821327154, 160]"
2,0.010354203,"[1.24988236483803, 10, 2.643277219565904, 163]"
57,0.010600062,"[0.7733230746504873, 14, 2.5127739901894723, 156]"
94,0.010618877,"[1.4583670249260776, 13, 2.970921764720948, 202]"
31,0.010638694,"[1.0245647694976707, 12, 2.6213919982759246, 189]"
75,0.010766875,"[1.1274496701285694, 12, 2.5143284921216638, 269]"
8,0.010994244,"[1.141435233038638, 10, 2.6777053394050294, 279]"
69,0.011037129,"[0.8881757790353244, 10, 2.5044973774533608, 276]"
58,0.011057715,"[1.19892238999574, 11, 2.876851261575635, 288]"
13,0.012874684,"[0.8147102793793002, 13, 2.6276298174741557, 224]"
74,0.013527508,"[0.8875384411252077, 9, 2.8717335889994358, 294]"
60,0.013542397,"[1.176120476774374, 12, 2.78018716293308, 299]"
78,0.013833656,"[1.205353359015958, 12, 2.5220164785332124, 260]"
46,0.014049969,"[0.8758122838660714, 10, 2.626898679354252, 221]"
24,0.014123779,"[1.0856328103234314, 14, 3.106965358819495, 258]"
30,0.014356035,"[1.4068868538788557, 14, 2.6578671885497376, 230]"
17,0.014583742,"[1.447392589245857, 9, 2.910165323471055, 208]"
10,0.014949342,"[1.2219691666454167, 10, 3.11667157321905, 154]"
95,0.015102975,"[1.1521603712349837, 14, 2.80799672958697, 233]"
44,0.015503918,"[1.497453306385001, 11, 2.972511117998927, 195]"
12,0.015745025,"[1.4340610677587098, 11, 3.265774375011948, 262]"
76,0.015782234,"[1.420274890084934, 12, 3.0359709340543772, 164]"
77,0.015963878,"[1.2612175410465727, 11, 2.6241215143443646, 285]"
85,0.015993559,"[1.0189498419902456, 11, 2.9394018699807094, 208]"
33,0.01626323,"[1.0092455397763753, 9, 3.01899100800897, 238]"
3,0.016484658,"[0.9190404299351832, 12, 2.803788849279918, 199]"
96,0.017132795,"[1.4795073768242184, 11, 3.4063155552395004, 300]"
43,0.017412928,"[1.0930383048848915, 14, 3.203824117849231, 164]"
9,0.017537506,"[1.28763856081554, 12, 2.770472833095075, 233]"
82,0.01755033,"[1.3634942408983681, 11, 2.8279839003302993, 194]"
52,0.017715667,"[1.2005934999967103, 11, 3.241356215551951, 225]"
97,0.018657891,"[1.3700647771392236, 13, 2.5760498661235003, 158]"
22,0.0189204,"[0.9565899390682879, 11, 2.7530065019053476, 162]"
40,0.018969253,"[0.8191374281066579, 14, 2.7474629886909203, 245]"
20,0.019219758,"[1.0218428588338386, 11, 2.7571161150418626, 274]"
19,0.019297226,"[0.915485470367902, 14, 2.9770878945099937, 269]"
45,0.019369521,"[1.4239263615138675, 12, 3.4127376111451233, 258]"
25,0.019535611,"[1.4280901701885165, 12, 3.369816402427306, 214]"
84,0.019631923,"[1.076996262017991, 14, 3.0132745633851377, 175]"
27,0.02024762,"[0.8786569611570357, 11, 3.037734144524152, 255]"
81,0.021333372,"[1.1226985030676935, 13, 2.7688748792968063, 274]"
26,0.022094132,"[1.1637901897763152, 12, 2.53429501881091, 241]"
87,0.022185178,"[0.9281841199575497, 14, 2.912427298921203, 179]"
83,0.022944391,"[0.8089603452575469, 10, 2.562101966684362, 278]"
11,0.023343023,"[1.424529138985051, 11, 2.7625229498481647, 238]"
50,0.023441564,"[1.0772454124512838, 14, 3.025556316245986, 191]"
7,0.023496402,"[1.248496335383303, 13, 3.4672782046837796, 195]"
47,0.023636417,"[1.3213094365648765, 12, 2.543670284389249, 259]"
67,0.024117976,"[1.3732771930043355, 12, 2.506439069169194, 158]"
18,0.024433395,"[0.8402627973907022, 14, 2.6181604357269563, 243]"
88,0.024437338,"[0.9843072848286174, 11, 3.0325723461416363, 292]"
89,0.024767367,"[1.2711583865469704, 9, 3.3626212548464522, 168]"
28,0.024836081,"[0.8596001746030641, 12, 2.5064129489297216, 231]"
61,0.025697675,"[0.8348525838802081, 13, 2.6654445569342573, 200]"
68,0.026425202,"[1.0234808641903141, 13, 3.0578682469050196, 284]"
66,0.027431817,"[1.4418666251957948, 10, 3.2734365854416096, 293]"
59,0.027523805,"[1.1049765596028562, 12, 3.419948608949822, 174]"
29,0.027802042,"[1.0780538823103727, 12, 2.6160088236189543, 169]"
92,0.028155949,"[0.789140368371591, 13, 2.5313510893645024, 180]"
80,0.028295549,"[0.8449519417748743, 14, 2.855747684663549, 252]"
62,0.028310641,"[1.3189099782154559, 12, 3.3775043790329757, 224]"
23,0.029806496,"[0.6452322469329277, 12, 2.7593307227568817, 184]"
98,0.030399177,"[1.3013695439920636, 13, 2.6492295535986443, 161]"
91,0.031025229,"[1.022047201601677, 13, 3.0818276114091554, 177]"
54,0.0327684,"[1.4972545299169382, 14, 2.5185888498011133, 213]"
6,0.032887763,"[1.1823924693812518, 10, 3.460127454366968, 187]"
56,0.039549572,"[0.6410681085653225, 10, 2.748803532667848, 163]"
86,0.039964113,"[1.1208313025249432, 12, 3.3527517445706287, 281]"
41,0.039971633,"[0.9801508766341273, 13, 3.4344568400831803, 288]"
93,0.042753662,"[0.7960532168869401, 10, 3.2563585626316787, 187]"
48,0.046365944,"[1.4213277427606497, 12, 3.4097824334457223, 229]"
53,0.046498109,"[0.7617331735047124, 14, 2.655966986731593, 182]"
37,0.04843088,"[0.5026281800541301, 12, 2.6562001915693587, 268]"
36,0.049509812,"[0.7895948098133967, 11, 3.0733232414178375, 163]"
63,0.052524962,"[0.8863774767322778, 10, 3.332214235757907, 259]"
38,0.052958215,"[0.719717023068063, 12, 3.1806269912008527, 283]"
1,0.055083707,"[0.5421649385300743, 12, 3.107698296698111, 285]"
35,0.055867597,"[0.916722066284941, 11, 3.4145969267896996, 201]"
49,0.059792551,"[0.5324550786784921, 13, 2.7249514353111004, 206]"
55,0.059862712,"[0.5540935749458132, 11, 2.931198082067823, 252]"
71,0.061181054,"[0.5352031420742737, 10, 2.7067949792508346, 278]"
90,0.067878592,"[0.5709309896811192, 11, 2.745554460810783, 186]"
4,0.068135175,"[0.7533489895848453, 11, 3.223337000043869, 294]"
0,0.068488994,"[0.7044461802000774, 11, 2.97781352065293, 285]"
73,0.074377286,"[0.518255998453275, 11, 2.8570198153201916, 248]"
15,0.075688988,"[0.6648087817221512, 10, 3.4494737256595482, 261]"
39,0.080268419,"[0.5828445300073548, 13, 2.552815257493132, 220]"
99,0.087374501,"[0.5212091288588264, 11, 2.9735282433553145, 167]"
14,0.088095026,"[0.9231584475831194, 10, 3.411021786539999, 283]"
65,0.091030175,"[0.6308585668122392, 12, 3.3074672546124027, 298]"
32,0.091515605,"[0.5600804874923364, 11, 2.8921871528739653, 284]"
5,0.093494944,"[0.6719435442919437, 9, 3.3347495441724533, 253]"
51,0.100762225,"[0.6446067635647932, 10, 3.26361304567668, 292]"
70,0.106062692,"[0.6761160555898326, 12, 3.4043856722666277, 235]"
34,0.106776428,"[0.7138429137299005, 13, 3.45151903707244, 225]"
42,0.112511078,"[0.6226876186107784, 13, 3.375777786147557, 181]"
16,0.126200833,"[0.6131821493262105, 14, 3.317400875540222, 252]"
