,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
33,0.007155728,"[0.7183621669433076, 11, 2.4207367843259213, 299]"
24,0.010518652,"[1.39895628923561, 12, 3.3456453942272533, 420]"
10,0.01303079,"[1.9701103285752515, 13, 2.9988009243331275, 86]"
13,0.013724537,"[0.842383575650863, 12, 2.3274750775043183, 446]"
16,0.014390329,"[0.5047210741861546, 14, 1.5283288640000032, 292]"
25,0.015080219,"[2.3825614468324736, 15, 3.1377679984133318, 393]"
32,0.015508603,"[1.1763203860221374, 14, 3.172058503343628, 345]"
39,0.016703355,"[3.199869726362966, 13, 3.478715685926396, 189]"
4,0.020605731,"[1.089084209923543, 10, 2.259748998647274, 13]"
2,0.021802752,"[1.3365655080093437, 6, 2.353816356297861, 134]"
36,0.023501155,"[1.1090380009625465, 5, 1.9633797293147917, 417]"
1,0.025045265,"[0.5565847926434467, 10, 1.5269418993274346, 246]"
38,0.029093424,"[1.9667106552715632, 8, 2.7763555755204488, 87]"
47,0.029885427,"[2.487382140596512, 8, 3.2901884605749507, 342]"
3,0.029900244,"[1.2116045312194537, 12, 3.2727641278621, 443]"
49,0.030733566,"[1.712613652288873, 12, 2.805973085482222, 342]"
18,0.031137376,"[2.2718113725961517, 4, 2.7517816512928164, 289]"
20,0.031275443,"[3.072148568991154, 5, 3.1247137834261802, 21]"
45,0.03644823,"[0.869831783204859, 6, 1.4727912986092464, 46]"
22,0.039862759,"[2.3282781461867463, 11, 2.7667798053605517, 428]"
8,0.042909319,"[0.7425178077580887, 7, 2.721105854039551, 424]"
5,0.046883169,"[2.955502970650235, 2, 2.367717017556917, 287]"
40,0.047488958,"[3.4487853421034442, 14, 2.5536026107306293, 281]"
43,0.049781248,"[2.233964305772065, 6, 2.5123206120020574, 100]"
48,0.050621048,"[2.8084547963676307, 7, 2.904731511948025, 328]"
7,0.05590434,"[1.2735509082511483, 10, 1.885982970317214, 279]"
21,0.064904241,"[1.105379152344124, 3, 2.900630415259662, 176]"
17,0.088904498,"[1.5497455566881844, 8, 1.9012904306045564, 498]"
34,0.102438923,"[2.376114914979171, 10, 2.2468487401911554, 188]"
44,0.104678249,"[1.3888863553489474, 2, 2.804358163500262, 127]"
29,0.113378198,"[2.287430471349978, 11, 2.1035593130955417, 372]"
23,0.120111952,"[1.1545673988339846, 2, 3.060000908583186, 295]"
30,0.124254803,"[2.332424117090378, 13, 1.9759322050438943, 436]"
35,0.135804102,"[2.927020326355689, 3, 0.5173273090326763, 10]"
31,0.137588058,"[1.6483926910710993, 6, 0.9177050993121353, 497]"
9,0.142138391,"[1.5722867754525804, 8, 1.0385292808067157, 481]"
15,0.145205296,"[2.978266047209609, 6, 2.097566097565192, 256]"
12,0.148002943,"[0.6141225783923705, 5, 2.742591651315249, 452]"
0,0.182147721,"[3.197610839297349, 3, 0.6837481735851714, 491]"
41,0.185940945,"[1.80824882928885, 3, 0.7033260029670865, 383]"
26,0.186731881,"[2.995125251742518, 5, 1.1026333564406623, 35]"
46,0.192363254,"[3.4285766637243222, 5, 1.5440728540178819, 77]"
6,0.213168787,"[3.0738281874476607, 6, 0.7720150770471934, 308]"
11,0.227534034,"[3.396329551716274, 6, 0.9199174456914646, 473]"
27,0.232995205,"[2.9809417794412134, 12, 1.5983880041709044, 437]"
42,0.240297829,"[2.3380459680498022, 10, 0.6165417498210148, 98]"
19,0.244892112,"[2.015556620295446, 14, 1.176627237827761, 287]"
14,0.264484325,"[2.534887595665472, 14, 1.3591486372531818, 476]"
28,0.283640671,"[0.682244656998503, 2, 3.446541963674696, 179]"
37,0.314788442,"[0.7665053907096047, 5, 0.5398233009978831, 480]"
