learn_rate,num_hidden_nodes,weight_range,beta,error
2,8,2.5,400,0.252290234
2,10,2,400,0.305148017
2,8,2.5,450,0.320079222
2,8,2,400,0.361826037
2,8,2,450,0.363562392
