learn_rate,num_hidden_nodes,weight_range,beta,c,error
3.0,2,0.5,0.0,0.0,17.183363
3.0,2,0.5,0.0,250.0,4.505820106408042
3.0,2,0.5,250.0,0.0,17.183363
3.0,2,0.5,250.0,250.0,6.342102684290709
3.0,2,3.0,0.0,0.0,17.183363
3.0,2,3.0,0.0,250.0,3.0451437549282683
3.0,2,3.0,250.0,0.0,17.183363
3.0,2,3.0,250.0,250.0,2.8520394436196126
3.0,8,0.5,0.0,0.0,17.183363
3.0,8,0.5,0.0,250.0,3.2147422540854427
3.0,8,0.5,250.0,0.0,17.183363
3.0,8,0.5,250.0,250.0,4.38681853652591
3.0,8,3.0,0.0,0.0,17.183363
3.0,8,3.0,0.0,250.0,2.451526070696358
3.0,8,3.0,250.0,0.0,17.183363
3.0,8,3.0,250.0,250.0,1.8384019697413017
3.0,14,0.5,0.0,0.0,17.183363
3.0,14,0.5,0.0,250.0,3.0858253213287274
3.0,14,0.5,250.0,0.0,17.183363
3.0,14,0.5,250.0,250.0,3.7549028169426504
3.0,14,3.0,0.0,0.0,17.183363
3.0,14,3.0,0.0,250.0,5.973261757634796
3.0,14,3.0,250.0,0.0,17.183363
3.0,14,3.0,250.0,250.0,5.288338006074328
