,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
188,1.256584659,"[2.3469254815137006, 11, 1.8775500699895176, 472, 490]"
659,1.257637763,"[2.799179928506791, 13, 1.7730684949964473, 489, 495]"
331,1.262614866,"[2.5438721293913162, 12, 1.8155365032267619, 480, 480]"
37,1.262908488,"[2.913045132292909, 11, 2.4038352406647316, 489, 498]"
558,1.264335974,"[2.6272006219666557, 11, 1.6683786531492726, 492, 496]"
198,1.269703569,"[2.554933602360122, 12, 2.3553565426463834, 494, 460]"
428,1.272110948,"[2.3122524644278335, 13, 1.6723012348843367, 458, 488]"
390,1.273589612,"[2.963185262778933, 11, 1.8267568036014628, 489, 455]"
128,1.276252052,"[2.8993710797962358, 13, 1.6008172734718062, 496, 491]"
225,1.27848084,"[2.292368471470698, 11, 2.215934771481325, 483, 496]"
599,1.280698179,"[2.716878213597449, 13, 1.6139510093720033, 498, 490]"
638,1.282163871,"[2.0954672441599884, 14, 1.9403305044480141, 491, 479]"
739,1.282715657,"[2.210167413866731, 14, 1.8293327719622978, 457, 483]"
126,1.282992554,"[2.800116136758005, 11, 1.580117742638569, 458, 476]"
460,1.28398387,"[2.9280351321703955, 13, 2.319428456253945, 454, 458]"
206,1.292259949,"[2.185780549113759, 14, 2.01209017598098, 489, 459]"
361,1.295170896,"[2.7381866008565305, 13, 1.9323060595181585, 489, 468]"
505,1.296094682,"[2.1109481160377355, 13, 1.5814389964257323, 456, 464]"
166,1.297314888,"[2.3178661397293565, 13, 2.334876883851531, 485, 489]"
583,1.301131221,"[2.718237473235408, 12, 1.8939933429833964, 498, 468]"
29,1.319831249,"[2.2582081412081396, 14, 2.448186271702083, 463, 498]"
114,1.323114487,"[2.0850206789784944, 10, 2.023426793895155, 463, 487]"
497,1.324531073,"[2.6808385249832214, 11, 1.8422904885070397, 461, 491]"
238,1.328211676,"[2.978056097656423, 13, 2.178615093733179, 470, 476]"
467,1.330038187,"[2.1362372797681988, 11, 1.7352122461026844, 458, 457]"
762,1.330995529,"[2.370434999855252, 11, 1.748383222496975, 452, 450]"
222,1.331908589,"[2.557896075601158, 13, 2.4319890177214685, 474, 499]"
561,1.343367369,"[2.3523300170188715, 14, 1.6458530994941714, 490, 495]"
500,1.343498377,"[2.734231525119068, 12, 1.5948542717079626, 453, 495]"
294,1.345488237,"[2.2329183181344687, 10, 1.5893204632261315, 460, 482]"
484,1.346741112,"[2.253450385496822, 15, 1.673890659885733, 471, 482]"
630,1.34755896,"[2.994977821887415, 13, 1.6352118271924716, 476, 474]"
774,1.364761539,"[2.3333383140371504, 12, 1.5579992506423932, 492, 499]"
743,1.378341803,"[2.1237720269362184, 13, 1.6850630646975537, 480, 499]"
236,1.381288493,"[2.9432359075212595, 14, 2.0992222055615155, 454, 480]"
488,1.382988156,"[2.910197721885218, 13, 1.878419160668855, 485, 462]"
84,1.384256722,"[2.5394440875979383, 12, 1.5048864164882976, 492, 494]"
264,1.385532574,"[2.007366001458632, 13, 2.4914332227116964, 474, 464]"
