,error,"[learn_rate, num_hidden_nodes, weight_range, beta]"
269,1.32314741,"[2.3639917626000226, 11, 1.5107586282284142, 491, 482]"
229,1.325974211,"[2.278716107426086, 12, 1.5715555426159062, 467, 468]"
355,1.326214419,"[2.849033282068348, 12, 1.9696145400474472, 464, 482]"
55,1.326884306,"[2.1823293037726015, 14, 2.136945946718685, 462, 493]"
560,1.331721945,"[2.5744934669678816, 12, 2.4670037565315006, 485, 457]"
60,1.334558708,"[2.3840591875623707, 12, 1.541737478489355, 484, 499]"
26,1.337163389,"[2.291958528057453, 12, 1.561810624299102, 493, 470]"
195,1.338541899,"[2.8735240607048436, 13, 1.7069624678926456, 463, 492]"
46,1.348048271,"[2.6003455515796765, 13, 1.6966696941010861, 493, 484]"
151,1.349704006,"[2.4628582650859285, 11, 2.2415051033220412, 463, 464]"
684,1.359694827,"[2.102964449721762, 14, 2.1194809391129072, 458, 459]"
27,1.359822495,"[2.4838133751988916, 13, 1.927413634752455, 487, 487]"
514,1.364109105,"[2.225570475022791, 12, 1.739256168275128, 468, 490]"
615,1.365758432,"[2.7246186947912, 12, 1.7311316208090328, 492, 489]"
149,1.373985337,"[2.449853585864608, 11, 1.5710417018736942, 488, 482]"
612,1.379571128,"[2.9259052468083055, 13, 1.7019785186756242, 479, 482]"
542,1.380905047,"[2.6089014547574845, 12, 1.7257710826364485, 480, 485]"
323,1.382229058,"[2.6491980255279275, 13, 2.048395206733623, 480, 477]"
178,1.385912619,"[2.6459195529759363, 13, 1.97234537345887, 475, 489]"
733,1.387432523,"[2.2648574093021243, 13, 2.388921476020564, 487, 495]"
101,1.390019698,"[2.1154224151114125, 13, 1.8828326642848725, 475, 500]"
274,1.394255757,"[2.3153466439677053, 12, 2.1028762526548994, 463, 456]"
103,1.395613929,"[2.5641896727107847, 10, 1.8280790572082712, 464, 470]"
711,1.396406194,"[2.851207851837954, 13, 1.711704366152559, 495, 493]"
278,1.40427801,"[2.0991956629604323, 11, 1.7273507763849527, 467, 472]"
216,1.404313066,"[2.3132051324781373, 14, 2.1201429911863556, 457, 453]"
30,1.414820822,"[2.3338984439166266, 11, 1.828180506080231, 471, 467]"
213,1.416514331,"[2.356797464987197, 13, 1.7124616098541776, 450, 464]"
589,1.41688607,"[2.998189793467953, 11, 2.4188266259762656, 484, 456]"
407,1.417694581,"[2.239043796092279, 12, 1.893138980371518, 489, 468]"
630,1.418484341,"[2.42091481737181, 13, 2.498664475603981, 459, 455]"
621,1.419658661,"[2.7253525659303923, 10, 1.6348726897965966, 479, 499]"
459,1.420141391,"[2.927682742384637, 12, 2.1268742124193816, 470, 453]"
591,1.420990225,"[2.1735825892279146, 12, 2.3989982220860413, 474, 478]"
68,1.421991396,"[2.0005356922971216, 11, 1.8025699187523583, 462, 500]"
763,1.422283706,"[2.4280999751510173, 14, 2.083198292347524, 489, 461]"
792,1.424852796,"[2.876679264930224, 13, 2.4639528751668367, 482, 460]"
723,1.432466757,"[2.297318248127767, 15, 1.9247284375699025, 474, 499]"
131,1.433298378,"[2.5206689293834263, 11, 1.6529411518077668, 451, 492]"
747,1.440460386,"[2.4962002493490605, 13, 1.5796834114689942, 489, 478]"
